"",BBK01.OEXL05L,BBK01.OEXL05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:14,
2002-01,0.457,
2002-04,0.453,
2002-07,0.500,
2002-10,0.657,
2003-01,0.709,
2003-04,0.665,
2003-07,0.741,
2003-10,0.732,
2004-01,0.547,
2004-04,0.579,
2004-07,0.602,
2004-10,0.597,
2005-01,0.598,
2005-04,0.651,
2005-07,0.689,
2005-10,0.622,
2006-01,0.623,
2006-04,0.622,
2006-07,0.675,
2006-10,0.702,
2007-01,0.717,
2007-04,0.769,
2007-07,0.849,
2007-10,0.821,
2008-01,1.024,
2008-04,1.042,
2008-07,1.121,
2008-10,1.130,
2009-01,1.484,
2009-04,1.860,
2009-07,2.087,
2009-10,2.184,
2010-01,2.352,
2010-04,2.423,
2010-07,2.490,
2010-10,2.528,
2011-01,2.629,
2011-04,2.705,
2011-07,2.721,
2011-10,2.863,
2012-01,3.267,
2012-04,3.641,
2012-07,4.000,
2012-10,4.459,
2013-01,4.470,
2013-04,4.534,
2013-07,4.676,
2013-10,4.897,
2014-01,5.306,
2014-04,5.506,
2014-07,5.823,
