"",BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:50,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-2.461,
1993-04,-2.333,
1993-07,-2.333,
1993-10,-2.333,
1994-01,0.785,
1994-04,0.785,
1994-07,0.785,
1994-10,0.785,
1995-01,-0.528,
1995-04,-0.528,
1995-07,-0.528,
1995-10,-0.528,
1996-01,0.652,
1996-04,0.652,
1996-07,0.652,
1996-10,0.652,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-3.000,
1999-04,-2.000,
1999-07,-2.000,
1999-10,-2.000,
2000-01,-3.000,
2000-04,-3.000,
2000-07,-3.000,
2000-10,-,Nothing exists
2001-01,-0.264,
2001-04,-0.330,
2001-07,-1.330,
2001-10,-0.264,
2002-01,-0.171,
2002-04,-0.206,
2002-07,-0.222,
2002-10,-2.257,
2003-01,-1.348,
2003-04,-0.417,
2003-07,-0.452,
2003-10,-0.521,
2004-01,-0.867,
2004-04,-0.855,
2004-07,-0.915,
2004-10,-0.951,
2005-01,0.483,
2005-04,0.476,
2005-07,-16.489,
2005-10,-0.470,
2006-01,0.164,
2006-04,0.678,
2006-07,0.776,
2006-10,0.920,
2007-01,1.879,
2007-04,-0.373,
2007-07,1.128,
2007-10,1.376,
2008-01,-32.972,
2008-04,-17.240,
2008-07,31.387,
2008-10,7.808,
2009-01,-57.205,
2009-04,22.878,
2009-07,63.041,
2009-10,123.284,
2010-01,16.379,
2010-04,-15.508,
2010-07,26.056,
2010-10,43.077,
2011-01,30.322,
2011-04,29.677,
2011-07,-35.579,
2011-10,29.580,
2012-01,36.446,
2012-04,-48.925,
2012-07,12.419,
2012-10,5.167,
2013-01,-2.133,
2013-04,-2.799,
2013-07,-95.692,
2013-10,-4.878,
2014-01,6.648,Provisional value
2014-04,-258.418,Provisional value
2014-07,-8.699,Provisional value
2014-10,-180.566,Provisional value
