"",BBK01.OEAD10P,BBK01.OEAD10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:59,
2002-01,0.245,
2002-04,0.255,
2002-07,0.236,
2002-10,0.230,
2003-01,0.219,
2003-04,0.224,
2003-07,0.192,
2003-10,0.197,
2004-01,0.187,
2004-04,0.186,
2004-07,0.190,
2004-10,0.183,
2005-01,0.176,
2005-04,0.175,
2005-07,0.178,
2005-10,0.171,
2006-01,0.161,
2006-04,0.169,
2006-07,0.166,
2006-10,0.171,
2007-01,0.160,
2007-04,0.155,
2007-07,0.151,
2007-10,0.166,
2008-01,0.161,
2008-04,0.160,
2008-07,0.164,
2008-10,0.172,
2009-01,0.168,
2009-04,0.172,
2009-07,0.161,
2009-10,0.189,
2010-01,0.163,
2010-04,0.160,
2010-07,0.171,
2010-10,0.173,
2011-01,0.176,
2011-04,0.189,
2011-07,0.181,
2011-10,0.171,
2012-01,0.179,
2012-04,0.183,
2012-07,0.173,
2012-10,0.166,
2013-01,0.169,
2013-04,0.169,
2013-07,0.177,
2013-10,0.185,
2014-01,0.170,
2014-04,0.164,
2014-07,0.173,
