"",BBAI3.Q.DE.N.V.LE.F29AB.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:49,
2005-10,744,
2006-01,640,
2006-04,641,
2006-07,638,
2006-10,762,
2007-01,625,
2007-04,634,
2007-07,655,
2007-10,798,
2008-01,677,
2008-04,735,
2008-07,733,
2008-10,897,
2009-01,782,
2009-04,770,
2009-07,765,
2009-10,881,
2010-01,734,
2010-04,746,
2010-07,764,
2010-10,883,
2011-01,740,
2011-04,723,
2011-07,718,
2011-10,807,
2012-01,733,
2012-04,723,
2012-07,732,
2012-10,770,
2013-01,685,
2013-04,683,
2013-07,678,
2013-10,719,
2014-01,661,
2014-04,652,
2014-07,645,
