"",BBK01.OEXB15R,BBK01.OEXB15R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:51,
2002-01,0.075,
2002-04,0.073,
2002-07,0.074,
2002-10,0.078,
2003-01,0.072,
2003-04,0.070,
2003-07,0.069,
2003-10,0.068,
2004-01,0.064,
2004-04,0.064,
2004-07,0.062,
2004-10,0.060,
2005-01,0.066,
2005-04,0.065,
2005-07,0.061,
2005-10,0.060,
2006-01,0.061,
2006-04,0.062,
2006-07,0.062,
2006-10,0.061,
2007-01,0.063,
2007-04,0.066,
2007-07,0.071,
2007-10,0.053,
2008-01,0.055,
2008-04,0.055,
2008-07,0.055,
2008-10,0.054,
2009-01,0.055,
2009-04,0.053,
2009-07,0.052,
2009-10,0.051,
2010-01,0.050,
2010-04,0.051,
2010-07,0.050,
2010-10,0.029,
2011-01,0.034,
2011-04,0.031,
2011-07,0.026,
2011-10,0.025,
2012-01,0.027,
2012-04,0.026,
2012-07,0.024,
2012-10,0.023,
2013-01,0.024,
2013-04,0.022,
2013-07,0.022,
2013-10,0.022,
2014-01,0.022,
2014-04,0.021,
2014-07,0.021,
