"",BBEX3.M.SLL.USD.CA.AA.A01,BBEX3.M.SLL.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Sierra Leone / USD 1 = SLL ... (buying),
unit,SLL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:57,
1991-01,199.8000,
1991-02,200.8000,
1991-03,218.8000,
1991-04,234.0000,
1991-05,243.8600,
1991-06,258.8600,
1991-07,307.6700,
1991-08,318.8300,
1991-09,357.6700,
1991-10,410.8300,
1991-11,416.3600,
1991-12,434.0000,
1992-01,445.4100,
1992-02,465.0000,
1992-03,490.0000,
1992-04,493.3300,
1992-05,501.6700,
1992-06,509.2900,
1992-07,509.8500,
1992-08,509.7400,
1992-09,513.0400,
1992-10,515.6700,
1992-11,522.1700,
1992-12,534.1700,
1993-01,554.1700,
1993-02,553.3300,
1993-03,553.3300,
1993-04,549.4600,
1993-05,552.4800,
1993-06,553.1900,
1993-07,560.5300,
1993-08,559.4500,
1993-09,581.6000,
1993-10,565.0000,
1993-11,572.5000,
1993-12,572.5000,
1994-01,572.5000,
1994-02,570.0000,
1994-03,570.0000,
1994-04,571.0500,
1994-05,572.3000,
1994-06,577.7300,
1994-07,575.4800,
1994-08,581.8900,
1994-09,587.5200,
1994-10,589.5400,
1994-11,597.4400,
1994-12,606.9200,
1995-01,623.1000,
1995-02,633.8200,
1995-03,633.2300,
1995-04,631.2600,
1995-05,639.2600,
1995-06,676.4400,
1995-07,753.5700,
1995-08,785.9900,
1995-09,843.5200,
1995-10,884.3700,
1995-11,926.9200,
1995-12,948.0500,
1996-01,942.2300,
1996-02,926.0600,
1996-03,924.3000,
1996-04,919.3000,
1996-05,879.7200,
1996-06,888.9800,
1996-07,897.6500,
1996-08,907.5400,
1996-09,924.8000,
1996-10,916.7900,
1996-11,919.1400,
1996-12,917.6600,
1997-01,899.1200,
1997-02,884.9500,
1997-03,843.5500,
1997-04,815.6200,
1997-05,813.9700,
1997-06,808.6400,
1997-07,808.6400,
1997-08,1011.6700,
1997-09,1072.6200,
1997-10,1202.7900,
