"",BBK01.OEBB09N,BBK01.OEBB09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:40,
2002-01,49.209,
2002-04,50.130,
2002-07,48.487,
2002-10,48.458,
2003-01,45.936,
2003-04,46.199,
2003-07,44.608,
2003-10,44.407,
2004-01,43.378,
2004-04,43.117,
2004-07,42.604,
2004-10,34.359,
2005-01,38.154,
2005-04,37.503,
2005-07,37.812,
2005-10,36.742,
2006-01,36.602,
2006-04,37.202,
2006-07,38.212,
2006-10,36.877,
2007-01,38.766,
2007-04,39.564,
2007-07,39.134,
2007-10,43.220,
2008-01,46.634,
2008-04,49.008,
2008-07,51.518,
2008-10,55.029,
2009-01,50.870,
2009-04,51.302,
2009-07,57.790,
2009-10,49.221,
2010-01,48.875,
2010-04,56.483,
2010-07,50.828,
2010-10,50.266,
2011-01,53.711,
2011-04,54.642,
2011-07,64.896,
2011-10,63.082,
2012-01,56.030,
2012-04,62.060,
2012-07,63.841,
2012-10,61.595,
2013-01,63.578,
2013-04,62.757,
2013-07,45.413,
2013-10,44.614,
2014-01,47.615,
2014-04,48.510,
2014-07,47.560,
