"",BBK01.OELB16Q,BBK01.OELB16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:00,
2002-01,2.085,
2002-04,2.098,
2002-07,2.105,
2002-10,2.122,
2003-01,2.109,
2003-04,2.132,
2003-07,2.144,
2003-10,2.163,
2004-01,2.151,
2004-04,2.172,
2004-07,2.170,
2004-10,2.158,
2005-01,2.183,
2005-04,2.213,
2005-07,2.232,
2005-10,2.271,
2006-01,2.296,
2006-04,2.347,
2006-07,2.374,
2006-10,2.393,
2007-01,2.406,
2007-04,2.432,
2007-07,2.476,
2007-10,2.507,
2008-01,2.528,
2008-04,2.585,
2008-07,2.639,
2008-10,2.688,
2009-01,2.700,
2009-04,2.758,
2009-07,2.839,
2009-10,2.932,
2010-01,2.987,
2010-04,3.149,
2010-07,3.207,
2010-10,3.247,
2011-01,3.254,
2011-04,3.330,
2011-07,3.429,
2011-10,3.838,
2012-01,3.873,
2012-04,4.356,
2012-07,4.420,
2012-10,4.452,
2013-01,4.478,
2013-04,4.524,
2013-07,4.574,
2013-10,4.614,
2014-01,4.646,
2014-04,4.667,
2014-07,4.684,
