"",BBK01.OEAG03T,BBK01.OEAG03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:37,
2002-01,0.185,
2002-04,0.165,
2002-07,0.166,
2002-10,0.179,
2003-01,0.260,
2003-04,0.265,
2003-07,0.295,
2003-10,0.262,
2004-01,0.370,
2004-04,0.382,
2004-07,0.466,
2004-10,0.499,
2005-01,0.481,
2005-04,0.473,
2005-07,0.499,
2005-10,0.514,
2006-01,0.534,
2006-04,0.656,
2006-07,0.659,
2006-10,0.581,
2007-01,0.577,
2007-04,0.512,
2007-07,0.511,
2007-10,0.526,
2008-01,0.639,
2008-04,0.644,
2008-07,0.664,
2008-10,0.647,
2009-01,0.634,
2009-04,0.631,
2009-07,0.625,
2009-10,0.626,
2010-01,0.530,
2010-04,0.527,
2010-07,0.529,
2010-10,0.515,
2011-01,0.460,
2011-04,0.584,
2011-07,0.593,
2011-10,0.540,
2012-01,0.503,
2012-04,0.496,
2012-07,0.492,
2012-10,0.487,
2013-01,0.978,
2013-04,0.437,
2013-07,0.453,
2013-10,0.414,
2014-01,0.476,
2014-04,0.584,
2014-07,0.541,
