"",BBK01.OECM02M,BBK01.OECM02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:30,
2002-01,0.026,
2002-04,0.033,
2002-07,0.022,
2002-10,0.028,
2003-01,0.037,
2003-04,0.021,
2003-07,0.040,
2003-10,0.026,
2004-01,0.045,
2004-04,0.047,
2004-07,0.102,
2004-10,0.049,
2005-01,0.108,
2005-04,0.227,
2005-07,0.169,
2005-10,0.087,
2006-01,0.096,
2006-04,0.101,
2006-07,0.138,
2006-10,0.131,
2007-01,0.116,
2007-04,0.090,
2007-07,0.094,
2007-10,0.088,
2008-01,0.113,
2008-04,0.065,
2008-07,0.064,
2008-10,0.324,
2009-01,0.295,
2009-04,0.131,
2009-07,0.244,
2009-10,0.214,
2010-01,0.245,
2010-04,0.354,
2010-07,0.298,
2010-10,0.156,
2011-01,0.203,
2011-04,0.120,
2011-07,0.156,
2011-10,0.123,
2012-01,0.163,
2012-04,0.186,
2012-07,0.349,
2012-10,0.424,
2013-01,0.339,
2013-04,0.271,
2013-07,0.250,
2013-10,0.194,
2014-01,0.174,
2014-04,0.182,
2014-07,0.083,
