"",BBK01.CEHD20,BBK01.CEHD20_FLAGS
"",Currency and transferable deposits debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:14,
1991-01,-28.7,
1991-04,25.0,
1991-07,-21.1,
1991-10,22.3,
1992-01,3.7,
1992-04,15.1,
1992-07,-16.0,
1992-10,63.9,
1993-01,-9.2,
1993-04,31.4,
1993-07,4.0,
1993-10,52.1,
1994-01,-61.2,
1994-04,21.9,
1994-07,-23.5,
1994-10,63.2,
1995-01,-52.7,
1995-04,16.5,
1995-07,4.1,
1995-10,73.4,
1996-01,-39.2,
1996-04,28.1,
1996-07,7.6,
1996-10,98.3,
1997-01,-24.3,
1997-04,37.7,
1997-07,-24.6,
1997-10,69.2,
1998-01,-2.9,
1998-04,46.1,
1998-07,-24.1,
1998-10,106.6,
1999-01,55.0,
1999-04,16.8,
1999-07,-9.0,
1999-10,-16.4,
2000-01,75.1,
2000-04,-0.9,
2000-07,-23.5,
2000-10,31.6,
2001-01,51.1,
2001-04,3.5,
2001-07,15.8,
2001-10,-51.0,
2002-01,-2.0,
2002-04,65.9,
2002-07,19.9,
2002-10,16.2,
2003-01,66.8,
2003-04,53.8,
2003-07,-23.7,
2003-10,-21.6,
2004-01,90.8,
2004-04,7.3,
2004-07,17.9,
2004-10,-60.8,
2005-01,128.9,
2005-04,41.4,
2005-07,-7.1,
2005-10,-20.4,
2006-01,50.4,
2006-04,64.3,
2006-07,-1.1,
2006-10,40.0,
2007-01,49.1,
2007-04,54.5,
2007-07,18.5,
2007-10,3.7,
2008-01,87.0,
2008-04,-7.5,
2008-07,106.7,
2008-10,80.8,
2009-01,57.2,
2009-04,115.4,
2009-07,-55.1,
2009-10,18.5,
2010-01,120.2,
2010-04,199.9,
2010-07,-129.3,
2010-10,-12.9,
2011-01,-13.4,
2011-04,11.8,
2011-07,217.1,
2011-10,-11.1,
2012-01,359.3,
2012-04,142.3,
2012-07,4.8,
2012-10,-90.5,
2013-01,-114.2,
2013-04,7.7,
2013-07,6.9,
2013-10,-67.7,
2014-01,14.2,
