"",BBK01.OEAH62P,BBK01.OEAH62P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:45,
2002-01,0.012,
2002-04,0.013,
2002-07,0.011,
2002-10,0.012,
2003-01,0.009,
2003-04,0.009,
2003-07,0.009,
2003-10,0.009,
2004-01,0.018,
2004-04,0.016,
2004-07,0.017,
2004-10,0.017,
2005-01,0.017,
2005-04,0.019,
2005-07,0.016,
2005-10,0.018,
2006-01,0.019,
2006-04,0.021,
2006-07,0.023,
2006-10,0.027,
2007-01,0.030,
2007-04,0.037,
2007-07,0.045,
2007-10,0.069,
2008-01,0.096,
2008-04,0.109,
2008-07,0.137,
2008-10,0.143,
2009-01,0.129,
2009-04,0.109,
2009-07,0.093,
2009-10,0.090,
2010-01,0.064,
2010-04,0.051,
2010-07,0.044,
2010-10,0.041,
2011-01,0.049,
2011-04,0.058,
2011-07,0.058,
2011-10,0.059,
2012-01,0.068,
2012-04,0.059,
2012-07,0.054,
2012-10,0.046,
2013-01,0.041,
2013-04,0.033,
2013-07,0.026,
2013-10,0.025,
2014-01,0.022,
2014-04,0.018,
2014-07,0.018,
