"",BBFN1.M.DE.N.1.L.B0.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from advance payments received / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:25,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,5.289,
1995-02,5.293,
1995-03,5.299,
1995-04,5.295,
1995-05,5.413,
1995-06,5.482,
1995-07,5.599,
1995-08,5.801,
1995-09,5.384,
1995-10,5.451,
1995-11,5.202,
1995-12,4.696,
1996-01,4.804,
1996-02,5.002,
1996-03,5.112,
1996-04,5.161,
1996-05,5.379,
1996-06,5.379,
1996-07,5.514,
1996-08,5.639,
1996-09,5.456,
1996-10,5.408,
1996-11,5.706,
1996-12,5.378,
1997-01,5.737,
1997-02,5.741,
1997-03,5.865,
1997-04,6.038,
1997-05,6.230,
1997-06,6.296,
1997-07,6.455,
1997-08,6.717,
1997-09,6.683,
1997-10,6.612,
1997-11,6.106,
1997-12,5.990,
1998-01,6.256,
1998-02,6.441,
1998-03,6.429,
1998-04,6.752,
1998-05,6.865,
1998-06,6.746,
1998-07,6.980,
1998-08,6.927,
1998-09,6.674,
1998-10,6.854,
1998-11,6.419,
1998-12,6.110,
1999-01,6.260,
1999-02,6.309,
1999-03,6.490,
1999-04,6.585,
1999-05,6.505,
1999-06,6.645,
1999-07,6.863,
1999-08,7.008,
1999-09,6.527,
1999-10,6.851,
1999-11,6.634,
1999-12,6.429,
2000-01,6.697,
2000-02,6.859,
2000-03,6.927,
2000-04,7.050,
2000-05,7.332,
2000-06,7.488,
2000-07,7.664,
2000-08,7.818,
2000-09,7.759,
2000-10,7.691,
2000-11,7.708,
2000-12,7.536,
2001-01,7.869,
2001-02,7.902,
2001-03,7.984,
2001-04,8.332,
2001-05,8.360,
2001-06,8.752,
2001-07,8.642,
2001-08,9.077,
2001-09,8.864,
2001-10,9.036,
2001-11,8.897,
2001-12,8.789,
2002-01,9.042,
2002-02,9.340,
2002-03,9.428,
2002-04,9.096,
2002-05,9.686,
2002-06,9.693,
2002-07,9.594,
2002-08,9.889,
2002-09,9.736,
2002-10,10.227,
2002-11,9.711,
2002-12,9.488,
2003-01,9.533,
2003-02,9.739,
2003-03,9.798,
2003-04,10.404,
2003-05,10.024,
2003-06,10.101,
2003-07,10.300,
2003-08,10.197,
2003-09,10.005,
2003-10,10.141,
2003-11,10.148,
2003-12,9.642,
2004-01,10.148,
2004-02,10.023,
2004-03,11.328,
2004-04,11.450,
2004-05,12.891,
2004-06,12.451,
2004-07,12.746,
2004-08,12.163,
2004-09,12.101,
2004-10,12.343,
2004-11,12.443,
2004-12,11.956,
2005-01,12.314,
2005-02,12.487,
2005-03,12.941,
2005-04,13.115,
2005-05,13.103,
2005-06,12.783,
2005-07,12.854,
2005-08,13.189,
2005-09,12.537,
2005-10,12.791,
2005-11,12.988,
2005-12,12.864,
2006-01,13.244,
2006-02,13.551,
2006-03,13.939,
2006-04,14.239,
2006-05,14.325,
2006-06,14.262,
2006-07,14.950,
2006-08,15.038,
2006-09,14.923,
2006-10,15.059,
2006-11,14.997,
2006-12,14.609,
2007-01,15.879,
2007-02,16.215,
2007-03,16.334,
2007-04,16.929,
2007-05,17.114,
2007-06,17.320,
2007-07,18.253,
2007-08,18.749,
2007-09,18.470,
2007-10,19.048,
2007-11,19.072,
2007-12,19.181,
2008-01,19.776,
2008-02,20.399,
2008-03,20.738,
2008-04,21.036,
2008-05,21.311,
2008-06,21.191,
2008-07,21.958,
2008-08,22.212,
2008-09,22.508,
2008-10,22.622,
2008-11,22.553,
2008-12,21.457,
2009-01,21.976,
2009-02,22.096,
2009-03,21.850,
2009-04,21.735,
2009-05,21.977,
2009-06,21.481,
2009-07,21.810,
2009-08,22.102,
2009-09,21.738,
2009-10,22.053,
2009-11,21.980,
2009-12,21.006,
2010-01,21.335,
2010-02,21.358,
2010-03,21.370,
2010-04,21.511,
2010-05,21.245,
2010-06,21.082,
2010-07,21.059,
2010-08,21.352,
2010-09,21.595,
2010-10,22.043,
2010-11,21.372,
2010-12,21.727,
2011-01,24.606,
2011-02,24.918,
2011-03,25.482,
2011-04,26.191,
2011-05,26.599,
2011-06,26.336,
2011-07,26.685,
2011-08,27.169,
2011-09,27.244,
2011-10,27.312,
2011-11,27.110,
2011-12,26.623,
2012-01,27.142,
2012-02,26.733,
2012-03,26.486,
2012-04,27.261,
2012-05,27.479,
2012-06,27.172,
2012-07,27.356,
2012-08,27.151,
2012-09,28.069,
2012-10,27.648,
2012-11,27.278,
2012-12,26.507,
2013-01,26.754,
2013-02,26.683,
2013-03,26.573,
2013-04,27.094,
2013-05,26.670,
2013-06,24.786,
2013-07,26.282,
2013-08,26.625,
2013-09,26.172,
2013-10,27.252,
2013-11,27.076,
2013-12,26.323,
2014-01,26.597,
2014-02,27.061,
2014-03,26.663,
2014-04,26.862,
2014-05,27.103,
2014-06,26.813,
2014-07,27.081,
2014-08,27.322,
2014-09,27.317,
2014-10,27.123,
2014-11,27.179,
2014-12,26.879,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
