"",BBK01.CEH4Q1,BBK01.CEH4Q1_FLAGS
"",Loans  (consolidated) debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:24,
1991-01,3.5,
1991-04,0.4,
1991-07,-1.6,
1991-10,-3.1,
1992-01,-0.2,
1992-04,-0.7,
1992-07,-1.0,
1992-10,-2.7,
1993-01,-1.2,
1993-04,0.1,
1993-07,0.1,
1993-10,-3.7,
1994-01,1.2,
1994-04,1.1,
1994-07,0.8,
1994-10,5.8,
1995-01,7.3,
1995-04,0.8,
1995-07,1.5,
1995-10,-1.0,
1996-01,-0.4,
1996-04,-2.7,
1996-07,0.0,
1996-10,0.6,
1997-01,3.3,
1997-04,-3.4,
1997-07,1.4,
1997-10,-0.5,
1998-01,1.9,
1998-04,1.8,
1998-07,1.8,
1998-10,2.2,
1999-01,4.4,
1999-04,5.0,
1999-07,7.0,
1999-10,-3.1,
2000-01,-1.7,
2000-04,4.2,
2000-07,19.2,
2000-10,-5.5,
2001-01,7.2,
2001-04,2.7,
2001-07,-2.9,
2001-10,5.3,
2002-01,3.3,
2002-04,-4.2,
2002-07,2.9,
2002-10,-8.8,
2003-01,6.2,
2003-04,-0.5,
2003-07,3.8,
2003-10,-3.0,
2004-01,-1.1,
2004-04,1.7,
2004-07,5.1,
2004-10,-3.2,
2005-01,7.4,
2005-04,2.5,
2005-07,-1.4,
2005-10,0.0,
2006-01,2.3,
2006-04,5.8,
2006-07,4.8,
2006-10,-1.2,
2007-01,7.0,
2007-04,0.3,
2007-07,7.2,
2007-10,-2.0,
2008-01,3.8,
2008-04,5.6,
2008-07,-3.3,
2008-10,-5.6,
2009-01,8.2,
2009-04,-2.6,
2009-07,4.0,
2009-10,1.6,
2010-01,10.0,
2010-04,7.1,
2010-07,0.8,
2010-10,-3.1,
2011-01,6.8,
2011-04,-2.9,
2011-07,-1.1,
2011-10,1.9,
2012-01,4.2,
2012-04,5.2,
2012-07,-4.5,
2012-10,-1.8,
2013-01,6.1,
2013-04,7.8,
2013-07,1.4,
2013-10,-7.4,
2014-01,3.0,
