"",BBK01.PQE360,BBK01.PQE360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:14,
1968-10,0.002,
1969-01,0.002,
1969-04,0.002,
1969-07,0.002,
1969-10,0.003,
1970-01,0.003,
1970-04,0.004,
1970-07,0.003,
1970-10,0.003,
1971-01,0.003,
1971-04,0.004,
1971-07,0.003,
1971-10,0.004,
1972-01,0.004,
1972-04,0.005,
1972-07,0.006,
1972-10,0.008,
1973-01,0.008,
1973-04,0.007,
1973-07,0.008,
1973-10,0.008,
1974-01,0.008,
1974-04,0.008,
1974-07,0.008,
1974-10,0.009,
1975-01,0.008,
1975-04,0.008,
1975-07,0.008,
1975-10,0.008,
1976-01,0.008,
1976-04,0.006,
1976-07,0.005,
1976-10,0.005,
1977-01,0.005,
1977-04,0.004,
1977-07,0.004,
1977-10,0.004,
1978-01,0.004,
1978-04,0.004,
1978-07,0.004,
1978-10,0.005,
1979-01,0.005,
1979-04,0.006,
1979-07,0.005,
1979-10,0.006,
1980-01,0.005,
1980-04,0.005,
1980-07,0.005,
1980-10,0.005,
1981-01,0.005,
1981-04,0.005,
1981-07,0.005,
1981-10,0.007,
1982-01,0.006,
1982-04,0.006,
1982-07,0.006,
1982-10,0.006,
1983-01,0.008,
1983-04,0.008,
1983-07,0.008,
1983-10,0.011,
1984-01,0.010,
1984-04,0.011,
1984-07,0.011,
1984-10,0.012,
1985-01,0.014,
1985-04,0.014,
1985-07,0.015,
1985-10,0.014,
1986-01,0.013,
1986-04,0.009,
1986-07,0.008,
1986-10,0.007,
1987-01,0.006,
1987-04,0.006,
1987-07,0.006,
1987-10,0.009,
1988-01,0.009,
1988-04,0.010,
1988-07,0.010,
1988-10,0.010,
1989-01,0.010,
1989-04,0.010,
1989-07,0.010,
1989-10,0.015,
1990-01,0.019,
1990-04,0.014,
1990-07,0.013,
1990-10,0.016,
1991-01,0.014,
1991-04,0.016,
1991-07,0.016,
1991-10,0.020,
1992-01,0.018,
1992-04,0.018,
1992-07,0.019,
1992-10,0.019,
1993-01,0.019,
1993-04,0.018,
1993-07,0.017,
1993-10,0.006,
1994-01,0.006,
1994-04,0.006,
1994-07,0.009,
1994-10,0.100,
1995-01,0.097,
1995-04,0.098,
1995-07,0.101,
1995-10,0.102,
1996-01,0.106,
1996-04,0.110,
1996-07,0.123,
1996-10,0.127,
1997-01,0.132,
1997-04,0.311,
1997-07,0.203,
1997-10,0.220,
1998-01,0.383,
1998-04,0.402,
1998-07,0.437,
1998-10,0.459,
1999-01,0.201,
1999-04,0.186,
1999-07,0.177,
1999-10,0.171,
2000-01,0.497,
2000-04,0.566,
2000-07,0.611,
2000-10,0.704,
2001-01,0.687,
2001-04,0.665,
2001-07,0.656,
2001-10,0.655,
2002-01,0.733,
2002-04,0.765,
2002-07,0.798,
2002-10,0.813,
2003-01,0.857,
2003-04,0.544,
2003-07,0.567,
2003-10,0.578,
2004-01,0.574,
2004-04,0.577,
2004-07,0.616,
2004-10,0.622,
2005-01,0.612,
2005-04,0.627,
2005-07,0.640,
2005-10,0.616,
2006-01,0.590,
2006-04,0.594,
2006-07,0.613,
2006-10,0.618,
2007-01,0.606,
2007-04,0.582,
2007-07,0.628,
2007-10,0.621,
2008-01,0.635,
2008-04,0.664,
2008-07,0.706,
2008-10,0.761,
2009-01,0.733,
2009-04,0.752,
2009-07,0.770,
2009-10,0.951,
2010-01,0.906,
2010-04,0.977,
2010-07,1.009,
2010-10,0.931,
2011-01,0.958,
2011-04,1.013,
2011-07,1.061,
2011-10,1.085,
2012-01,1.076,
2012-04,1.114,
2012-07,1.143,
2012-10,1.163,
2013-01,1.157,
2013-04,1.194,
2013-07,1.242,
2013-10,1.232,
2014-01,1.259,
2014-04,1.313,
2014-07,1.365,
2014-10,1.315,
