"",BBFB1.Q.N.DE.U3.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:58,
1999-01,640.724,
1999-04,822.347,
1999-07,959.618,
1999-10,818.203,
2000-01,838.496,
2000-04,1077.977,
2000-07,1218.797,
2000-10,1041.504,
2001-01,942.409,
2001-04,1190.999,
2001-07,1213.144,
2001-10,1036.509,
2002-01,870.422,
2002-04,1157.047,
2002-07,1252.723,
2002-10,1037.045,
2003-01,823.837,
2003-04,1088.175,
2003-07,1207.155,
2003-10,1031.339,
2004-01,946.935,
2004-04,1222.327,
2004-07,1320.941,
2004-10,1079.943,
2005-01,1028.365,
2005-04,1285.722,
2005-07,1397.347,
2005-10,1136.904,
2006-01,1062.600,
2006-04,1534.424,
2006-07,1508.901,
2006-10,1313.766,
2007-01,1166.740,
2007-04,1432.915,
2007-07,1634.699,
2007-10,1344.791,
2008-01,1233.469,
2008-04,1498.026,
2008-07,1674.777,
2008-10,1422.355,
2009-01,1020.665,
2009-04,1159.642,
2009-07,1449.701,
2009-10,1170.380,
2010-01,1073.175,
2010-04,1277.115,
2010-07,1553.814,
2010-10,1319.351,
2011-01,1122.582,
2011-04,1355.566,
2011-07,1662.840,
2011-10,1418.283,
2012-01,1220.083,
2012-04,1432.801,
2012-07,1773.372,
2012-10,1471.511,
2013-01,1292.742,
2013-04,1509.793,
2013-07,1825.492,
2013-10,1571.936,
2014-01,1350.887,Provisional value
2014-04,1625.131,Provisional value
2014-07,1929.581,Provisional value
2014-10,1690.916,Provisional value
