"",BBFN1.M.DE.N.1.A.W03100.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from advance payments made / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:02,
1995-01,0.239,
1995-02,0.231,
1995-03,0.256,
1995-04,0.270,
1995-05,0.267,
1995-06,0.275,
1995-07,0.275,
1995-08,0.274,
1995-09,0.258,
1995-10,0.248,
1995-11,0.267,
1995-12,0.251,
1996-01,0.259,
1996-02,0.274,
1996-03,0.292,
1996-04,0.267,
1996-05,0.286,
1996-06,0.285,
1996-07,0.240,
1996-08,0.262,
1996-09,0.233,
1996-10,0.261,
1996-11,0.261,
1996-12,0.250,
1997-01,0.263,
1997-02,0.262,
1997-03,0.265,
1997-04,0.287,
1997-05,0.313,
1997-06,0.315,
1997-07,0.348,
1997-08,0.348,
1997-09,0.346,
1997-10,0.298,
1997-11,0.285,
1997-12,0.265,
1998-01,0.265,
1998-02,0.310,
1998-03,0.311,
1998-04,0.290,
1998-05,0.316,
1998-06,0.303,
1998-07,0.281,
1998-08,0.299,
1998-09,0.272,
1998-10,0.300,
1998-11,0.249,
1998-12,0.231,
1999-01,0.259,
1999-02,0.278,
1999-03,0.313,
1999-04,0.255,
1999-05,0.327,
1999-06,0.315,
1999-07,0.299,
1999-08,0.310,
1999-09,0.253,
1999-10,0.306,
1999-11,0.292,
1999-12,0.279,
2000-01,0.290,
2000-02,0.327,
2000-03,0.445,
2000-04,0.358,
2000-05,0.337,
2000-06,0.266,
2000-07,0.248,
2000-08,0.249,
2000-09,0.215,
2000-10,0.235,
2000-11,0.200,
2000-12,0.187,
2001-01,0.209,
2001-02,0.288,
2001-03,0.264,
2001-04,0.271,
2001-05,0.277,
2001-06,0.298,
2001-07,0.285,
2001-08,0.271,
2001-09,0.242,
2001-10,0.267,
2001-11,0.296,
2001-12,0.266,
2002-01,0.292,
2002-02,0.306,
2002-03,0.341,
2002-04,0.309,
2002-05,0.309,
2002-06,0.313,
2002-07,0.301,
2002-08,0.338,
2002-09,0.288,
2002-10,0.270,
2002-11,0.308,
2002-12,0.278,
2003-01,0.225,
2003-02,0.237,
2003-03,0.243,
2003-04,0.233,
2003-05,0.235,
2003-06,0.230,
2003-07,0.207,
2003-08,0.209,
2003-09,0.202,
2003-10,0.191,
2003-11,0.173,
2003-12,0.137,
2004-01,0.143,
2004-02,0.153,
2004-03,0.154,
2004-04,0.168,
2004-05,0.084,
2004-06,0.083,
2004-07,0.078,
2004-08,0.100,
2004-09,0.084,
2004-10,0.082,
2004-11,0.088,
2004-12,0.082,
2005-01,0.086,
2005-02,0.085,
2005-03,0.097,
2005-04,0.105,
2005-05,0.109,
2005-06,0.105,
2005-07,0.112,
2005-08,0.116,
2005-09,0.120,
2005-10,0.119,
2005-11,0.116,
2005-12,0.116,
2006-01,0.125,
2006-02,0.125,
2006-03,0.122,
2006-04,0.119,
2006-05,0.134,
2006-06,0.127,
2006-07,0.130,
2006-08,0.130,
2006-09,0.129,
2006-10,0.160,
2006-11,0.165,
2006-12,0.158,
2007-01,0.140,
2007-02,0.156,
2007-03,0.151,
2007-04,0.174,
2007-05,0.181,
2007-06,0.198,
2007-07,0.204,
2007-08,0.226,
2007-09,0.224,
2007-10,0.269,
2007-11,0.273,
2007-12,0.253,
2008-01,0.266,
2008-02,0.263,
2008-03,0.262,
2008-04,0.267,
2008-05,0.291,
2008-06,0.348,
2008-07,0.355,
2008-08,0.397,
2008-09,0.375,
2008-10,0.392,
2008-11,0.412,
2008-12,0.353,
2009-01,0.349,
2009-02,0.366,
2009-03,0.367,
2009-04,0.358,
2009-05,0.372,
2009-06,0.398,
2009-07,0.393,
2009-08,0.408,
2009-09,0.399,
2009-10,0.401,
2009-11,0.437,
2009-12,0.591,
2010-01,0.437,
2010-02,0.468,
2010-03,0.624,
2010-04,0.641,
2010-05,0.657,
2010-06,0.685,
2010-07,0.700,
2010-08,0.646,
2010-09,0.657,
2010-10,0.651,
2010-11,0.598,
2010-12,0.802,
2011-01,0.800,
2011-02,0.814,
2011-03,0.700,
2011-04,0.767,
2011-05,0.710,
2011-06,0.659,
2011-07,0.657,
2011-08,0.666,
2011-09,0.652,
2011-10,0.654,
2011-11,0.633,
2011-12,0.601,
2012-01,0.622,
2012-02,0.530,
2012-03,0.504,
2012-04,0.520,
2012-05,0.563,
2012-06,0.554,
2012-07,0.575,
2012-08,0.581,
2012-09,0.608,
2012-10,0.647,
2012-11,0.642,
2012-12,0.552,
2013-01,0.498,
2013-02,0.470,
2013-03,0.493,
2013-04,0.489,
2013-05,0.504,
2013-06,0.529,
2013-07,0.463,
2013-08,0.481,
2013-09,0.547,
2013-10,0.497,
2013-11,0.506,
2013-12,0.428,
2014-01,0.438,
2014-02,0.414,
2014-03,0.451,
2014-04,0.455,
2014-05,0.457,
2014-06,0.444,
2014-07,0.460,
2014-08,0.449,
2014-09,0.444,
2014-10,0.464,
2014-11,0.504,
2014-12,0.458,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
