"",BBSF2.M.1.T.00000.DSO01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Funds-of-funds: Other funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:05,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,1,
2010-01,1,
2010-02,2,
2010-03,4,
2010-04,4,
2010-05,4,
2010-06,4,
2010-07,4,
2010-08,4,
2010-09,6,
2010-10,6,
2010-11,6,
2010-12,6,
2011-01,8,
2011-02,7,
2011-03,12,
2011-04,12,
2011-05,8,
2011-06,8,
2011-07,17,
2011-08,6,
2011-09,6,
2011-10,2,
2011-11,2,
2011-12,2,
2012-01,2,
2012-02,2,
2012-03,2,
2012-04,1,
2012-05,1,
2012-06,1,
2012-07,1,
2012-08,1,
2012-09,6,
2012-10,6,
2012-11,6,
2012-12,8,
2013-01,8,
2013-02,8,
2013-03,8,
2013-04,8,
2013-05,9,
2013-06,9,
2013-07,10,
2013-08,10,
2013-09,70,
2013-10,79,
2013-11,85,
2013-12,99,
2014-01,101,
2014-02,109,
2014-03,125,
2014-04,150,
2014-05,167,
2014-06,146,
2014-07,170,
2014-08,162,
2014-09,157,
2014-10,159,
2014-11,159,
