"",BBK01.OEAD32U,BBK01.OEAD32U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:48,
2002-01,0.034,
2002-04,0.032,
2002-07,0.033,
2002-10,0.033,
2003-01,0.031,
2003-04,0.030,
2003-07,0.030,
2003-10,0.030,
2004-01,0.027,
2004-04,0.025,
2004-07,0.024,
2004-10,0.023,
2005-01,0.025,
2005-04,0.026,
2005-07,0.027,
2005-10,0.028,
2006-01,0.028,
2006-04,0.023,
2006-07,0.023,
2006-10,0.027,
2007-01,0.027,
2007-04,0.026,
2007-07,0.031,
2007-10,0.035,
2008-01,0.034,
2008-04,0.034,
2008-07,0.036,
2008-10,0.026,
2009-01,0.025,
2009-04,0.022,
2009-07,0.026,
2009-10,0.025,
2010-01,0.033,
2010-04,0.034,
2010-07,0.034,
2010-10,0.032,
2011-01,0.050,
2011-04,0.053,
2011-07,0.052,
2011-10,0.057,
2012-01,0.045,
2012-04,0.055,
2012-07,0.054,
2012-10,0.039,
2013-01,0.039,
2013-04,0.040,
2013-07,0.045,
2013-10,0.046,
2014-01,0.046,
2014-04,0.053,
2014-07,0.062,
