"",BBFN1.M.DE.N.1.A.PT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:20,
1982-09,0.016,
1982-10,0.016,
1982-11,0.016,
1982-12,0.025,
1983-01,0.025,
1983-02,0.025,
1983-03,0.025,
1983-04,0.024,
1983-05,0.024,
1983-06,0.024,
1983-07,0.025,
1983-08,0.025,
1983-09,0.025,
1983-10,0.025,
1983-11,0.024,
1983-12,0.024,
1984-01,0.023,
1984-02,0.023,
1984-03,0.023,
1984-04,0.024,
1984-05,0.024,
1984-06,0.021,
1984-07,0.022,
1984-08,0.022,
1984-09,0.022,
1984-10,0.022,
1984-11,0.022,
1984-12,0.021,
1985-01,0.022,
1985-02,0.022,
1985-03,0.020,
1985-04,0.020,
1985-05,0.022,
1985-06,0.022,
1985-07,0.022,
1985-08,0.022,
1985-09,0.021,
1985-10,0.020,
1985-11,0.020,
1985-12,0.020,
1986-01,0.025,
1986-02,0.025,
1986-03,0.025,
1986-04,0.025,
1986-05,0.025,
1986-06,0.026,
1986-07,0.027,
1986-08,0.027,
1986-09,0.026,
1986-10,0.026,
1986-11,0.026,
1986-12,0.024,
1987-01,0.024,
1987-02,0.026,
1987-03,0.026,
1987-04,0.027,
1987-05,0.027,
1987-06,0.027,
1987-07,0.028,
1987-08,0.028,
1987-09,0.029,
1987-10,0.029,
1987-11,0.028,
1987-12,0.027,
1988-01,0.027,
1988-02,0.022,
1988-03,0.022,
1988-04,0.024,
1988-05,0.024,
1988-06,0.024,
1988-07,0.025,
1988-08,0.025,
1988-09,0.026,
1988-10,0.033,
1988-11,0.034,
1988-12,0.035,
1989-01,0.035,
1989-02,0.035,
1989-03,0.036,
1989-04,0.036,
1989-05,0.037,
1989-06,0.038,
1989-07,0.038,
1989-08,0.039,
1989-09,0.041,
1989-10,0.051,
1989-11,0.052,
1989-12,0.065,
1990-01,0.067,
1990-02,0.067,
1990-03,0.069,
1990-04,0.069,
1990-05,0.070,
1990-06,0.070,
1990-07,0.070,
1990-08,0.070,
1990-09,0.070,
1990-10,0.072,
1990-11,0.073,
1990-12,0.074,
1991-01,0.075,
1991-02,0.074,
1991-03,0.077,
1991-04,0.082,
1991-05,0.084,
1991-06,0.089,
1991-07,0.096,
1991-08,0.097,
1991-09,0.099,
1991-10,0.099,
1991-11,0.098,
1991-12,0.099,
1992-01,0.099,
1992-02,0.099,
1992-03,0.100,
1992-04,0.100,
1992-05,0.100,
1992-06,0.101,
1992-07,0.100,
1992-08,0.100,
1992-09,0.103,
1992-10,0.103,
1992-11,0.105,
1992-12,0.100,
1993-01,0.099,
1993-02,0.115,
1993-03,0.099,
1993-04,0.099,
1993-05,0.098,
1993-06,0.090,
1993-07,0.095,
1993-08,0.095,
1993-09,0.098,
1993-10,0.099,
1993-11,0.149,
