"",BBK01.OEXL07H,BBK01.OEXL07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:26,
2002-01,4.730,
2002-04,4.593,
2002-07,4.596,
2002-10,4.632,
2003-01,4.465,
2003-04,4.433,
2003-07,4.509,
2003-10,4.661,
2004-01,4.652,
2004-04,4.186,
2004-07,4.415,
2004-10,4.712,
2005-01,5.087,
2005-04,5.324,
2005-07,5.532,
2005-10,5.706,
2006-01,5.679,
2006-04,5.579,
2006-07,5.431,
2006-10,5.396,
2007-01,5.489,
2007-04,5.496,
2007-07,5.414,
2007-10,5.654,
2008-01,5.672,
2008-04,5.565,
2008-07,5.506,
2008-10,6.452,
2009-01,6.660,
2009-04,6.770,
2009-07,7.243,
2009-10,7.088,
2010-01,6.779,
2010-04,6.650,
2010-07,6.742,
2010-10,7.737,
2011-01,8.459,
2011-04,8.322,
2011-07,8.411,
2011-10,9.480,
2012-01,10.113,
2012-04,10.065,
2012-07,9.935,
2012-10,9.670,
2013-01,9.338,
2013-04,8.723,
2013-07,8.378,
2013-10,8.013,
2014-01,7.555,
2014-04,7.314,
2014-07,7.529,
