"",BBK01.OEHB22G,BBK01.OEHB22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:10,
2002-01,0.277,
2002-04,0.281,
2002-07,0.271,
2002-10,0.199,
2003-01,0.307,
2003-04,0.403,
2003-07,0.349,
2003-10,0.241,
2004-01,0.309,
2004-04,0.348,
2004-07,0.357,
2004-10,0.274,
2005-01,0.359,
2005-04,0.424,
2005-07,0.392,
2005-10,0.320,
2006-01,0.340,
2006-04,0.307,
2006-07,0.297,
2006-10,0.261,
2007-01,0.315,
2007-04,0.270,
2007-07,0.274,
2007-10,0.290,
2008-01,0.318,
2008-04,0.284,
2008-07,0.266,
2008-10,0.268,
2009-01,0.345,
2009-04,0.409,
2009-07,0.454,
2009-10,0.450,
2010-01,0.611,
2010-04,0.595,
2010-07,0.515,
2010-10,0.457,
2011-01,0.440,
2011-04,0.424,
2011-07,0.364,
2011-10,0.394,
2012-01,0.426,
2012-04,0.333,
2012-07,0.276,
2012-10,0.392,
2013-01,0.374,
2013-04,0.383,
2013-07,0.366,
2013-10,0.368,
2014-01,0.412,
2014-04,0.370,
2014-07,0.324,
