"",BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:44,
1991-01,432.279,
1991-04,586.844,
1991-07,619.835,
1991-10,111.598,
1992-01,257.941,
1992-04,475.603,
1992-07,-287.896,
1992-10,478.037,
1993-01,-475.960,
1993-04,-0.813,
1993-07,133.795,
1993-10,-53.461,
1994-01,1674.218,
1994-04,194.133,
1994-07,87.927,
1994-10,-234.419,
1995-01,280.769,
1995-04,-560.018,
1995-07,-69.962,
1995-10,634.999,
1996-01,272.571,
1996-04,1304.979,
1996-07,250.352,
1996-10,310.546,
1997-01,1480.325,
1997-04,1275.134,
1997-07,2319.023,
1997-10,-2049.155,
1998-01,761.762,
1998-04,290.014,
1998-07,-1147.691,
1998-10,3832.092,
1999-01,1843.300,
1999-04,-296.591,
1999-07,1610.050,
1999-10,1537.718,
2000-01,5249.250,
2000-04,198.801,
2000-07,-1350.304,
2000-10,603.807,
2001-01,-7901.047,
2001-04,5921.405,
2001-07,-2461.083,
2001-10,-508.427,
2002-01,-911.530,
2002-04,3834.110,
2002-07,-2890.753,
2002-10,4185.654,
2003-01,-2447.357,
2003-04,3557.733,
2003-07,357.411,
2003-10,2068.528,
2004-01,3133.253,
2004-04,2617.819,
2004-07,3312.850,
2004-10,-2096.949,
2005-01,-2250.125,
2005-04,-2477.607,
2005-07,3717.182,
2005-10,5800.741,
2006-01,-2718.198,
2006-04,250.174,
2006-07,-944.948,
2006-10,1039.201,
2007-01,-392.592,
2007-04,440.557,
2007-07,-1347.164,
2007-10,-592.433,
2008-01,-1231.610,
2008-04,1620.069,
2008-07,-2169.793,
2008-10,-3918.217,
2009-01,-803.023,
2009-04,131.717,
2009-07,848.225,
2009-10,-394.128,
2010-01,559.271,
2010-04,-0.678,
2010-07,2669.027,
2010-10,11834.646,
2011-01,-1429.033,
2011-04,719.703,
2011-07,-804.441,
2011-10,-1933.163,
2012-01,80.341,
2012-04,1271.498,
2012-07,285.898,
2012-10,1340.550,
2013-01,-1583.085,
2013-04,3511.362,
2013-07,487.738,
2013-10,3025.251,
2014-01,920.244,Provisional value
2014-04,650.973,Provisional value
2014-07,1792.898,Provisional value
2014-10,625.097,Provisional value
