"",BBK01.OEGI04I,BBK01.OEGI04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:08,
2002-01,1.246,
2002-04,1.293,
2002-07,1.428,
2002-10,1.539,
2003-01,1.703,
2003-04,1.342,
2003-07,1.274,
2003-10,1.872,
2004-01,2.150,
2004-04,1.942,
2004-07,2.300,
2004-10,1.986,
2005-01,2.099,
2005-04,2.287,
2005-07,2.745,
2005-10,2.193,
2006-01,2.629,
2006-04,2.454,
2006-07,2.447,
2006-10,2.631,
2007-01,2.496,
2007-04,2.209,
2007-07,3.960,
2007-10,4.408,
2008-01,5.559,
2008-04,8.686,
2008-07,9.352,
2008-10,7.003,
2009-01,10.087,
2009-04,10.639,
2009-07,9.282,
2009-10,10.337,
2010-01,12.043,
2010-04,6.816,
2010-07,13.473,
2010-10,12.971,
2011-01,12.439,
2011-04,14.600,
2011-07,15.494,
2011-10,13.070,
2012-01,14.515,
2012-04,12.430,
2012-07,12.915,
2012-10,10.418,
2013-01,11.815,
2013-04,9.495,
2013-07,5.662,
2013-10,5.038,
2014-01,5.090,
2014-04,5.528,
2014-07,5.797,
