"",BBSF2.M.1.S.00000.SON01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:47,
2009-09,623,
2009-10,325,
2009-11,1661,
2009-12,111,
2010-01,551,
2010-02,39,
2010-03,380,
2010-04,90,
2010-05,222,
2010-06,47,
2010-07,529,
2010-08,77,
2010-09,-132,
2010-10,205,
2010-11,109,
2010-12,388,
2011-01,34,
2011-02,171,
2011-03,56,
2011-04,89,
2011-05,175,
2011-06,217,
2011-07,49,
2011-08,919,
2011-09,32,
2011-10,91,
2011-11,89,
2011-12,196,
2012-01,119,
2012-02,-121,
2012-03,256,
2012-04,84,
2012-05,62,
2012-06,-105,
2012-07,205,
2012-08,551,
2012-09,201,
2012-10,17,
2012-11,69,
2012-12,417,
2013-01,166,
2013-02,47,
2013-03,433,
2013-04,1001,
2013-05,396,
2013-06,45,
2013-07,324,
2013-08,123,
2013-09,376,
2013-10,-112,
2013-11,-64,
2013-12,478,
2014-01,247,
2014-02,577,
2014-03,367,
2014-04,108,
2014-05,232,
2014-06,268,
2014-07,589,
2014-08,216,
2014-09,346,
2014-10,162,
2014-11,650,
