"",BBK01.OEBK01N,BBK01.OEBK01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:52,
2002-01,6.316,
2002-04,6.653,
2002-07,6.644,
2002-10,7.038,
2003-01,7.004,
2003-04,6.790,
2003-07,6.877,
2003-10,6.941,
2004-01,6.709,
2004-04,6.669,
2004-07,6.709,
2004-10,5.475,
2005-01,5.884,
2005-04,6.590,
2005-07,6.151,
2005-10,6.263,
2006-01,6.462,
2006-04,6.718,
2006-07,6.684,
2006-10,6.880,
2007-01,6.982,
2007-04,7.291,
2007-07,7.652,
2007-10,8.201,
2008-01,8.237,
2008-04,8.504,
2008-07,8.687,
2008-10,8.738,
2009-01,8.621,
2009-04,8.843,
2009-07,8.597,
2009-10,8.833,
2010-01,8.585,
2010-04,8.900,
2010-07,8.888,
2010-10,8.979,
2011-01,9.037,
2011-04,9.071,
2011-07,9.428,
2011-10,9.471,
2012-01,9.556,
2012-04,9.801,
2012-07,9.612,
2012-10,9.685,
2013-01,9.688,
2013-04,10.069,
2013-07,10.497,
2013-10,10.758,
2014-01,10.538,
2014-04,10.297,
2014-07,10.605,
