"",BBDE1.M.DE.W.BAA1.N2F000000.G.C.I10.A,BBDE1.M.DE.W.BAA1.N2F000000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Section F - Construction / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:34,
2010-01,53.3,
2010-02,62.7,
2010-03,93.8,
2010-04,101.4,
2010-05,105.3,
2010-06,110.8,
2010-07,112.1,
2010-08,107.0,
2010-09,114.4,
2010-10,115.9,
2010-11,115.6,
2010-12,98.3,
2011-01,65.6,
2011-02,77.4,
2011-03,101.2,
2011-04,105.9,
2011-05,109.5,
2011-06,113.3,
2011-07,118.5,
2011-08,111.6,
2011-09,118.2,
2011-10,122.7,
2011-11,124.8,
2011-12,115.2,
2012-01,68.9,
2012-02,69.1,
2012-03,106.8,
2012-04,104.9,
2012-05,108.5,
2012-06,114.2,
2012-07,118.7,
2012-08,110.7,
2012-09,119.2,
2012-10,119.7,
2012-11,119.3,
2012-12,110.4,
2013-01,64.6,
2013-02,73.3,
2013-03,93.0,
2013-04,104.9,
2013-05,106.9,
2013-06,114.4,
2013-07,119.8,
2013-08,113.1,
2013-09,119.3,
2013-10,120.0,
2013-11,121.2,
2013-12,116.8,
2014-01,73.4,
2014-02,85.4,
2014-03,105.2,
2014-04,108.6,
2014-05,107.6,
2014-06,115.4,
2014-07,119.5,
2014-08,111.8,
2014-09,118.1,
2014-10,120.7,Provisional value
2014-11,121.1,Provisional value
2014-12,111.3,Provisional value
