"",BBK01.OEYB08P,BBK01.OEYB08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:56,
2002-01,3.341,
2002-04,3.361,
2002-07,3.436,
2002-10,3.654,
2003-01,3.800,
2003-04,3.830,
2003-07,3.746,
2003-10,3.874,
2004-01,3.917,
2004-04,4.102,
2004-07,4.242,
2004-10,4.230,
2005-01,4.290,
2005-04,4.317,
2005-07,4.301,
2005-10,4.261,
2006-01,4.297,
2006-04,4.247,
2006-07,4.209,
2006-10,4.190,
2007-01,4.201,
2007-04,4.241,
2007-07,4.250,
2007-10,4.290,
2008-01,4.328,
2008-04,3.561,
2008-07,3.586,
2008-10,3.558,
2009-01,3.495,
2009-04,3.530,
2009-07,3.510,
2009-10,3.390,
2010-01,3.423,
2010-04,3.832,
2010-07,3.819,
2010-10,3.722,
2011-01,3.721,
2011-04,3.736,
2011-07,3.686,
2011-10,3.685,
2012-01,3.746,
2012-04,3.786,
2012-07,3.742,
2012-10,3.722,
2013-01,3.678,
2013-04,3.663,
2013-07,3.626,
2013-10,3.642,
2014-01,3.607,
2014-04,3.562,
2014-07,3.547,
