"",BBK01.OEHM04Q,BBK01.OEHM04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:47,
2002-01,0.266,
2002-04,0.229,
2002-07,0.221,
2002-10,0.226,
2003-01,0.188,
2003-04,0.184,
2003-07,0.164,
2003-10,0.184,
2004-01,0.215,
2004-04,0.247,
2004-07,0.231,
2004-10,0.244,
2005-01,0.252,
2005-04,0.246,
2005-07,0.237,
2005-10,0.239,
2006-01,0.217,
2006-04,0.232,
2006-07,0.215,
2006-10,0.249,
2007-01,0.215,
2007-04,0.213,
2007-07,0.260,
2007-10,0.274,
2008-01,0.285,
2008-04,0.305,
2008-07,0.302,
2008-10,0.249,
2009-01,0.164,
2009-04,0.154,
2009-07,0.152,
2009-10,0.133,
2010-01,0.130,
2010-04,0.139,
2010-07,0.128,
2010-10,0.130,
2011-01,0.112,
2011-04,0.117,
2011-07,0.125,
2011-10,0.160,
2012-01,0.166,
2012-04,0.176,
2012-07,0.273,
2012-10,0.185,
2013-01,0.161,
2013-04,0.124,
2013-07,0.130,
2013-10,0.142,
2014-01,0.109,
2014-04,0.110,
2014-07,0.103,
