"",BBK01.OELL09O,BBK01.OELL09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:35,
2002-01,1.936,
2002-04,1.822,
2002-07,1.779,
2002-10,1.726,
2003-01,1.668,
2003-04,1.590,
2003-07,1.555,
2003-10,1.532,
2004-01,1.493,
2004-04,1.429,
2004-07,1.373,
2004-10,1.324,
2005-01,1.363,
2005-04,1.387,
2005-07,1.452,
2005-10,1.517,
2006-01,1.629,
2006-04,1.675,
2006-07,1.714,
2006-10,1.719,
2007-01,1.666,
2007-04,1.613,
2007-07,1.833,
2007-10,1.950,
2008-01,1.946,
2008-04,1.808,
2008-07,1.431,
2008-10,1.229,
2009-01,1.142,
2009-04,1.257,
2009-07,1.410,
2009-10,1.562,
2010-01,1.729,
2010-04,1.680,
2010-07,1.588,
2010-10,1.445,
2011-01,1.291,
2011-04,1.185,
2011-07,1.132,
2011-10,0.950,
2012-01,1.094,
2012-04,1.139,
2012-07,1.183,
2012-10,1.221,
2013-01,1.423,
2013-04,1.397,
2013-07,1.366,
2013-10,1.365,
2014-01,1.266,
2014-04,1.279,
2014-07,1.257,
