"",BBK01.OECK03R,BBK01.OECK03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:54,
2002-01,0.028,
2002-04,0.026,
2002-07,0.023,
2002-10,0.025,
2003-01,0.023,
2003-04,0.021,
2003-07,0.018,
2003-10,0.019,
2004-01,0.014,
2004-04,0.014,
2004-07,0.011,
2004-10,0.035,
2005-01,0.032,
2005-04,0.032,
2005-07,0.030,
2005-10,0.027,
2006-01,0.026,
2006-04,0.028,
2006-07,0.031,
2006-10,0.032,
2007-01,0.031,
2007-04,0.033,
2007-07,0.035,
2007-10,0.044,
2008-01,0.050,
2008-04,0.055,
2008-07,0.058,
2008-10,0.057,
2009-01,0.045,
2009-04,0.049,
2009-07,0.046,
2009-10,0.027,
2010-01,0.022,
2010-04,0.018,
2010-07,0.017,
2010-10,0.015,
2011-01,0.016,
2011-04,0.011,
2011-07,0.010,
2011-10,0.014,
2012-01,0.014,
2012-04,0.014,
2012-07,0.011,
2012-10,0.007,
2013-01,0.005,
2013-04,0.005,
2013-07,0.005,
2013-10,0.004,
2014-01,0.004,
2014-04,0.003,
2014-07,0.005,
