"",BBK01.OEAH91V,BBK01.OEAH91V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:18,
2002-01,1.638,
2002-04,1.582,
2002-07,1.667,
2002-10,1.915,
2003-01,2.004,
2003-04,1.988,
2003-07,1.989,
2003-10,1.856,
2004-01,1.885,
2004-04,2.169,
2004-07,2.023,
2004-10,1.907,
2005-01,1.851,
2005-04,2.098,
2005-07,1.826,
2005-10,1.761,
2006-01,1.679,
2006-04,1.666,
2006-07,1.666,
2006-10,1.799,
2007-01,1.897,
2007-04,1.865,
2007-07,1.790,
2007-10,1.999,
2008-01,1.805,
2008-04,1.473,
2008-07,1.491,
2008-10,1.474,
2009-01,1.437,
2009-04,0.030,
2009-07,0.029,
2009-10,1.437,
2010-01,1.671,
2010-04,1.413,
2010-07,0.902,
2010-10,0.805,
2011-01,0.823,
2011-04,0.745,
2011-07,1.237,
2011-10,1.139,
2012-01,1.074,
2012-04,1.086,
2012-07,1.039,
2012-10,0.745,
2013-01,0.751,
2013-04,0.442,
2013-07,0.562,
2013-10,0.518,
2014-01,0.487,
2014-04,0.492,
2014-07,0.514,
