"",BBK01.OEAC16J,BBK01.OEAC16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:17,
2002-01,3.482,
2002-04,3.677,
2002-07,3.658,
2002-10,3.376,
2003-01,3.403,
2003-04,3.341,
2003-07,3.267,
2003-10,2.981,
2004-01,2.938,
2004-04,2.977,
2004-07,2.881,
2004-10,3.170,
2005-01,2.739,
2005-04,2.736,
2005-07,2.664,
2005-10,2.552,
2006-01,2.709,
2006-04,2.713,
2006-07,2.604,
2006-10,2.544,
2007-01,2.724,
2007-04,2.716,
2007-07,2.670,
2007-10,2.641,
2008-01,2.703,
2008-04,2.875,
2008-07,2.989,
2008-10,2.906,
2009-01,3.055,
2009-04,2.938,
2009-07,2.954,
2009-10,2.677,
2010-01,2.781,
2010-04,2.950,
2010-07,2.895,
2010-10,3.063,
2011-01,3.150,
2011-04,3.229,
2011-07,3.257,
2011-10,3.274,
2012-01,3.485,
2012-04,3.665,
2012-07,3.912,
2012-10,3.975,
2013-01,3.869,
2013-04,3.679,
2013-07,3.898,
2013-10,3.807,
2014-01,3.712,
2014-04,3.670,
2014-07,3.431,
