"",BBK01.OELL05T,BBK01.OELL05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:10,
2002-01,0.061,
2002-04,0.062,
2002-07,0.066,
2002-10,0.070,
2003-01,0.071,
2003-04,0.073,
2003-07,0.072,
2003-10,0.087,
2004-01,0.086,
2004-04,0.101,
2004-07,0.103,
2004-10,0.112,
2005-01,0.117,
2005-04,0.116,
2005-07,0.118,
2005-10,0.119,
2006-01,0.124,
2006-04,0.131,
2006-07,0.137,
2006-10,0.140,
2007-01,0.147,
2007-04,0.150,
2007-07,0.152,
2007-10,0.154,
2008-01,0.155,
2008-04,0.151,
2008-07,0.151,
2008-10,0.156,
2009-01,0.154,
2009-04,0.146,
2009-07,0.142,
2009-10,0.138,
2010-01,0.137,
2010-04,0.136,
2010-07,0.130,
2010-10,0.124,
2011-01,0.128,
2011-04,0.132,
2011-07,0.134,
2011-10,0.132,
2012-01,0.129,
2012-04,0.133,
2012-07,0.124,
2012-10,0.127,
2013-01,0.031,
2013-04,0.028,
2013-07,0.028,
2013-10,0.024,
2014-01,0.023,
2014-04,0.026,
2014-07,0.025,
