"",BBK01.OELB04S,BBK01.OELB04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:20,
2002-01,1.687,
2002-04,1.691,
2002-07,1.708,
2002-10,1.782,
2003-01,1.762,
2003-04,1.781,
2003-07,1.802,
2003-10,1.794,
2004-01,1.780,
2004-04,1.779,
2004-07,1.749,
2004-10,1.736,
2005-01,1.707,
2005-04,1.705,
2005-07,1.702,
2005-10,1.700,
2006-01,1.671,
2006-04,1.682,
2006-07,1.678,
2006-10,1.703,
2007-01,1.719,
2007-04,1.652,
2007-07,1.652,
2007-10,1.646,
2008-01,1.644,
2008-04,1.659,
2008-07,1.695,
2008-10,1.710,
2009-01,1.709,
2009-04,1.723,
2009-07,1.809,
2009-10,1.888,
2010-01,1.867,
2010-04,1.892,
2010-07,1.913,
2010-10,1.999,
2011-01,2.004,
2011-04,2.046,
2011-07,2.071,
2011-10,2.259,
2012-01,2.281,
2012-04,2.749,
2012-07,2.787,
2012-10,2.790,
2013-01,2.807,
2013-04,2.833,
2013-07,2.892,
2013-10,2.977,
2014-01,2.984,
2014-04,3.036,
2014-07,3.069,
