"",BBK01.OEHM04H,BBK01.OEHM04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:44,
2002-01,1.613,
2002-04,1.503,
2002-07,1.514,
2002-10,1.545,
2003-01,1.318,
2003-04,1.217,
2003-07,1.260,
2003-10,1.385,
2004-01,1.173,
2004-04,1.166,
2004-07,1.134,
2004-10,1.320,
2005-01,1.118,
2005-04,1.057,
2005-07,1.142,
2005-10,1.272,
2006-01,1.214,
2006-04,1.303,
2006-07,1.657,
2006-10,1.788,
2007-01,1.810,
2007-04,2.059,
2007-07,2.353,
2007-10,2.304,
2008-01,2.417,
2008-04,2.608,
2008-07,2.883,
2008-10,2.928,
2009-01,2.255,
2009-04,1.797,
2009-07,1.530,
2009-10,1.249,
2010-01,1.066,
2010-04,1.011,
2010-07,1.023,
2010-10,1.104,
2011-01,1.000,
2011-04,1.095,
2011-07,1.284,
2011-10,1.603,
2012-01,1.258,
2012-04,1.038,
2012-07,1.061,
2012-10,0.756,
2013-01,0.771,
2013-04,0.546,
2013-07,0.594,
2013-10,0.593,
2014-01,0.547,
2014-04,0.559,
2014-07,0.711,
