"",BBK01.OEAA47L,BBK01.OEAA47L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:34,
2002-01,126.810,
2002-04,124.182,
2002-07,121.985,
2002-10,118.701,
2003-01,114.295,
2003-04,110.628,
2003-07,108.110,
2003-10,106.471,
2004-01,103.744,
2004-04,100.186,
2004-07,99.812,
2004-10,96.886,
2005-01,95.261,
2005-04,90.445,
2005-07,87.150,
2005-10,83.631,
2006-01,78.500,
2006-04,74.848,
2006-07,73.336,
2006-10,71.959,
2007-01,67.001,
2007-04,62.216,
2007-07,59.468,
2007-10,56.626,
2008-01,51.838,
2008-04,51.512,
2008-07,61.715,
2008-10,60.511,
2009-01,56.426,
2009-04,54.765,
2009-07,42.642,
2009-10,40.489,
2010-01,37.837,
2010-04,37.741,
2010-07,37.342,
2010-10,36.603,
2011-01,35.992,
2011-04,34.429,
2011-07,33.229,
2011-10,32.195,
2012-01,31.581,
2012-04,31.510,
2012-07,30.426,
2012-10,30.303,
2013-01,30.061,
2013-04,31.324,
2013-07,32.203,
2013-10,32.027,
2014-01,31.458,
2014-04,31.305,
2014-07,30.125,
