"",BBK01.OEAE12M,BBK01.OEAE12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:23,
2002-01,0.427,
2002-04,0.520,
2002-07,0.437,
2002-10,0.715,
2003-01,0.942,
2003-04,0.671,
2003-07,0.651,
2003-10,0.335,
2004-01,0.394,
2004-04,0.359,
2004-07,0.329,
2004-10,0.380,
2005-01,0.353,
2005-04,0.338,
2005-07,0.387,
2005-10,0.296,
2006-01,0.345,
2006-04,0.419,
2006-07,0.427,
2006-10,0.351,
2007-01,0.458,
2007-04,0.358,
2007-07,0.386,
2007-10,0.383,
2008-01,0.774,
2008-04,0.676,
2008-07,0.669,
2008-10,0.479,
2009-01,0.480,
2009-04,0.489,
2009-07,0.494,
2009-10,0.502,
2010-01,0.486,
2010-04,0.609,
2010-07,0.556,
2010-10,0.458,
2011-01,0.445,
2011-04,0.389,
2011-07,0.349,
2011-10,0.355,
2012-01,0.443,
2012-04,0.342,
2012-07,0.380,
2012-10,0.367,
2013-01,0.368,
2013-04,0.453,
2013-07,0.460,
2013-10,0.493,
2014-01,0.493,
2014-04,0.575,
2014-07,0.457,
