"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.ES.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.ES.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Spain,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:06,
2009-09,7315,
2009-10,7481,
2009-11,7542,
2009-12,7608,
2010-01,7024,
2010-02,6768,
2010-03,6985,
2010-04,6307,
2010-05,5961,
2010-06,5840,
2010-07,6545,
2010-08,6527,
2010-09,6885,
2010-10,7100,
2010-11,6202,
2010-12,6326,
2011-01,7100,
2011-02,7674,
2011-03,7767,
2011-04,7829,
2011-05,7380,
2011-06,7283,
2011-07,7033,
2011-08,6666,
2011-09,6386,
2011-10,6561,
2011-11,6004,
2011-12,6009,
2012-01,6002,
2012-02,6209,
2012-03,5891,
2012-04,5516,
2012-05,4868,
2012-06,5390,
2012-07,5366,
2012-08,6016,
2012-09,6720,
2012-10,7353,
2012-11,8038,
2012-12,8540,
2013-01,9444,
2013-02,9090,
2013-03,8870,
2013-04,9227,
2013-05,9025,
2013-06,8577,
2013-07,8728,
2013-08,8835,
2013-09,9601,
2013-10,10186,
2013-11,10568,
2013-12,10969,
2014-01,10950,
2014-02,10798,
2014-03,11029,
2014-04,11147,
2014-05,11465,
2014-06,11508,
2014-07,11647,
2014-08,11771,
2014-09,11816,
2014-10,11709,
2014-11,12270,
