"",BBK01.OEHB21H,BBK01.OEHB21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:17,
2002-01,4.883,
2002-04,4.916,
2002-07,4.947,
2002-10,5.188,
2003-01,5.505,
2003-04,5.547,
2003-07,5.677,
2003-10,5.681,
2004-01,5.880,
2004-04,5.912,
2004-07,5.798,
2004-10,5.691,
2005-01,5.771,
2005-04,5.681,
2005-07,5.620,
2005-10,5.661,
2006-01,5.730,
2006-04,5.595,
2006-07,5.544,
2006-10,5.486,
2007-01,5.580,
2007-04,5.471,
2007-07,5.312,
2007-10,5.034,
2008-01,5.001,
2008-04,4.849,
2008-07,4.775,
2008-10,4.840,
2009-01,4.903,
2009-04,4.824,
2009-07,4.955,
2009-10,5.071,
2010-01,5.328,
2010-04,5.413,
2010-07,5.481,
2010-10,5.440,
2011-01,5.594,
2011-04,5.573,
2011-07,5.549,
2011-10,5.542,
2012-01,5.715,
2012-04,5.644,
2012-07,5.622,
2012-10,5.528,
2013-01,5.688,
2013-04,5.621,
2013-07,5.624,
2013-10,5.617,
2014-01,5.783,
2014-04,5.632,
2014-07,5.559,
