"",BBK01.OEAH49H,BBK01.OEAH49H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:01,
2002-01,0.137,
2002-04,0.138,
2002-07,0.139,
2002-10,0.143,
2003-01,0.146,
2003-04,0.140,
2003-07,0.137,
2003-10,0.155,
2004-01,0.161,
2004-04,0.159,
2004-07,0.158,
2004-10,0.172,
2005-01,0.179,
2005-04,0.175,
2005-07,0.171,
2005-10,0.164,
2006-01,0.172,
2006-04,0.173,
2006-07,0.181,
2006-10,0.187,
2007-01,0.177,
2007-04,0.178,
2007-07,0.184,
2007-10,0.183,
2008-01,0.185,
2008-04,0.186,
2008-07,0.205,
2008-10,0.214,
2009-01,0.231,
2009-04,0.235,
2009-07,0.255,
2009-10,0.280,
2010-01,0.308,
2010-04,0.301,
2010-07,0.296,
2010-10,0.316,
2011-01,0.311,
2011-04,0.290,
2011-07,0.290,
2011-10,0.289,
2012-01,0.271,
2012-04,0.273,
2012-07,0.262,
2012-10,0.236,
2013-01,0.218,
2013-04,0.209,
2013-07,0.205,
2013-10,0.205,
2014-01,0.210,
2014-04,0.234,
2014-07,0.204,
