"",BBK01.CEHE01,BBK01.CEHE01_FLAGS
"",short-term loans debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:12:54,
1991-01,42.5,
1991-04,0.5,
1991-07,-1.2,
1991-10,-2.2,
1992-01,2.3,
1992-04,-0.1,
1992-07,-0.4,
1992-10,-3.0,
1993-01,-0.4,
1993-04,1.0,
1993-07,0.0,
1993-10,-2.3,
1994-01,2.2,
1994-04,1.9,
1994-07,0.6,
1994-10,3.0,
1995-01,1.3,
1995-04,2.1,
1995-07,1.4,
1995-10,1.0,
1996-01,3.0,
1996-04,2.0,
1996-07,0.5,
1996-10,1.1,
1997-01,5.3,
1997-04,2.2,
1997-07,0.4,
1997-10,2.3,
1998-01,2.0,
1998-04,6.0,
1998-07,5.8,
1998-10,6.6,
1999-01,4.6,
1999-04,3.8,
1999-07,9.1,
1999-10,-1.5,
2000-01,-3.8,
2000-04,4.2,
2000-07,0.6,
2000-10,10.0,
2001-01,19.2,
2001-04,0.2,
2001-07,-2.3,
2001-10,6.7,
2002-01,11.5,
2002-04,-3.8,
2002-07,5.9,
2002-10,-5.5,
2003-01,8.8,
2003-04,-0.9,
2003-07,3.9,
2003-10,-2.6,
2004-01,1.5,
2004-04,-1.3,
2004-07,3.6,
2004-10,-6.4,
2005-01,8.0,
2005-04,11.3,
2005-07,4.0,
2005-10,1.4,
2006-01,4.6,
2006-04,5.2,
2006-07,1.2,
2006-10,1.9,
2007-01,1.5,
2007-04,0.2,
2007-07,2.7,
2007-10,7.4,
2008-01,2.3,
2008-04,7.9,
2008-07,0.2,
2008-10,-4.7,
2009-01,7.7,
2009-04,9.9,
2009-07,-11.2,
2009-10,-14.8,
2010-01,-1.8,
2010-04,8.5,
2010-07,-5.4,
2010-10,-0.3,
2011-01,10.6,
2011-04,-3.5,
2011-07,-1.3,
2011-10,4.3,
2012-01,7.2,
2012-04,11.1,
2012-07,-1.8,
2012-10,-0.3,
2013-01,10.3,
2013-04,-1.8,
2013-07,2.8,
2013-10,-0.9,
2014-01,8.9,
