"",BBK01.OELB15N,BBK01.OELB15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:22,
2002-01,2.485,
2002-04,2.463,
2002-07,2.453,
2002-10,2.436,
2003-01,2.384,
2003-04,2.334,
2003-07,2.326,
2003-10,2.273,
2004-01,2.259,
2004-04,2.212,
2004-07,2.171,
2004-10,2.133,
2005-01,2.103,
2005-04,2.070,
2005-07,2.046,
2005-10,2.004,
2006-01,1.968,
2006-04,1.942,
2006-07,1.906,
2006-10,1.871,
2007-01,1.834,
2007-04,1.833,
2007-07,1.787,
2007-10,1.756,
2008-01,1.762,
2008-04,1.773,
2008-07,1.764,
2008-10,1.753,
2009-01,1.747,
2009-04,1.762,
2009-07,1.816,
2009-10,1.823,
2010-01,1.815,
2010-04,1.800,
2010-07,1.802,
2010-10,1.763,
2011-01,1.767,
2011-04,1.779,
2011-07,1.788,
2011-10,1.831,
2012-01,1.855,
2012-04,1.320,
2012-07,1.326,
2012-10,1.325,
2013-01,1.339,
2013-04,1.351,
2013-07,1.366,
2013-10,1.360,
2014-01,1.377,
2014-04,1.363,
2014-07,1.385,
