"",BBFN1.M.DE.N.1.L.QA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.QA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Qatar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:16,
1995-01,0.001,
1995-02,0.001,
1995-03,0.001,
1995-04,0.001,
1995-05,0.001,
1995-06,0.001,
1995-07,0.002,
1995-08,0.001,
1995-09,0.001,
1995-10,0.001,
1995-11,0.001,
1995-12,0.001,
1996-01,0.001,
1996-02,0.001,
1996-03,0.001,
1996-04,0.001,
1996-05,0.001,
1996-06,0.001,
1996-07,0.001,
1996-08,0.001,
1996-09,0.001,
1996-10,0.001,
1996-11,0.001,
1996-12,0.001,
1997-01,0.001,
1997-02,0.001,
1997-03,0.001,
1997-04,0.001,
1997-05,0.001,
1997-06,0.001,
1997-07,0.001,
1997-08,0.001,
1997-09,0.001,
1997-10,0.001,
1997-11,0.001,
1997-12,0.001,
1998-01,0.004,
1998-02,0.003,
1998-03,0.001,
1998-04,0.002,
1998-05,0.002,
1998-06,0.001,
1998-07,0.002,
1998-08,0.002,
1998-09,0.002,
1998-10,0.002,
1998-11,0.003,
1998-12,0.002,
1999-01,0.002,
1999-02,0.002,
1999-03,0.002,
1999-04,0.003,
1999-05,0.003,
1999-06,0.003,
1999-07,0.002,
1999-08,0.002,
1999-09,0.002,
1999-10,0.002,
1999-11,0.002,
1999-12,0.002,
2000-01,0.002,
2000-02,0.002,
2000-03,0.002,
2000-04,0.002,
2000-05,0.002,
2000-06,0.001,
2000-07,0.001,
2000-08,0.001,
2000-09,0.001,
2000-10,0.001,
2000-11,0.001,
2000-12,0.001,
2001-01,0.001,
2001-02,0.002,
2001-03,0.001,
2001-04,0.001,
2001-05,0.000,
2001-06,0.001,
2001-07,0.002,
2001-08,0.003,
2001-09,0.004,
2001-10,0.006,
2001-11,0.004,
2001-12,0.003,
2002-01,0.002,
2002-02,0.002,
2002-03,0.002,
2002-04,0.002,
2002-05,0.002,
2002-06,0.002,
2002-07,0.002,
2002-08,0.003,
2002-09,0.003,
2002-10,0.003,
2002-11,0.003,
2002-12,0.004,
2003-01,0.002,
2003-02,0.002,
2003-03,0.004,
2003-04,0.006,
2003-05,0.006,
2003-06,0.006,
2003-07,0.003,
2003-08,0.003,
2003-09,0.004,
2003-10,0.004,
2003-11,0.004,
2003-12,0.003,
2004-01,0.002,
2004-02,0.001,
2004-03,0.002,
2004-04,0.002,
2004-05,0.001,
2004-06,0.003,
2004-07,0.002,
2004-08,0.001,
2004-09,0.002,
2004-10,0.002,
2004-11,0.002,
2004-12,0.002,
2005-01,0.004,
2005-02,0.006,
2005-03,0.003,
2005-04,0.003,
2005-05,0.006,
2005-06,0.002,
2005-07,0.002,
2005-08,0.002,
2005-09,0.006,
2005-10,0.006,
2005-11,0.007,
2005-12,0.010,
2006-01,0.007,
2006-02,0.007,
2006-03,0.007,
2006-04,0.007,
2006-05,0.008,
2006-06,0.012,
2006-07,0.012,
2006-08,0.010,
2006-09,0.009,
2006-10,0.009,
2006-11,0.010,
2006-12,0.009,
2007-01,0.008,
2007-02,0.011,
2007-03,0.013,
2007-04,0.012,
2007-05,0.013,
2007-06,0.014,
2007-07,0.011,
2007-08,0.011,
2007-09,0.014,
2007-10,0.015,
2007-11,0.016,
2007-12,0.015,
2008-01,0.093,
2008-02,0.088,
2008-03,0.078,
2008-04,0.074,
2008-05,0.065,
2008-06,0.094,
2008-07,0.050,
2008-08,0.045,
2008-09,0.075,
2008-10,0.081,
2008-11,0.074,
2008-12,0.059,
2009-01,0.052,
2009-02,0.056,
2009-03,0.054,
2009-04,0.049,
2009-05,0.058,
2009-06,0.052,
2009-07,0.050,
2009-08,0.055,
2009-09,0.052,
2009-10,0.053,
2009-11,0.048,
2009-12,4.158,
2010-01,4.145,
2010-02,4.141,
2010-03,4.142,
2010-04,4.150,
2010-05,4.152,
2010-06,4.155,
2010-07,4.157,
2010-08,4.182,
2010-09,4.154,
2010-10,4.156,
2010-11,4.327,
2010-12,4.330,
2011-01,4.328,
2011-02,4.321,
2011-03,4.574,
2011-04,4.464,
2011-05,4.464,
2011-06,4.505,
2011-07,4.467,
2011-08,4.470,
2011-09,4.475,
2011-10,4.412,
2011-11,4.409,
2011-12,4.466,
2012-01,4.406,
2012-02,4.400,
2012-03,4.406,
2012-04,4.409,
2012-05,4.426,
2012-06,4.189,
2012-07,4.187,
2012-08,4.182,
2012-09,4.196,
2012-10,3.725,
2012-11,3.725,
2012-12,3.712,
2013-01,4.073,
2013-02,4.067,
2013-03,4.067,
2013-04,4.074,
2013-05,3.810,
2013-06,2.993,
2013-07,3.026,
2013-08,3.022,
2013-09,3.026,
2013-10,3.032,
2013-11,3.031,
2013-12,3.036,
2014-01,3.021,
2014-02,3.019,
2014-03,2.959,
2014-04,2.961,
2014-05,2.961,
2014-06,3.013,
2014-07,2.888,
2014-08,2.890,
2014-09,2.896,
2014-10,2.894,
2014-11,2.896,
2014-12,2.951,
