"",BBFN1.M.DE.N.1.A.PA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:50,
1975-12,0.030,
1976-01,0.030,
1976-02,0.013,
1976-03,0.019,
1976-04,0.013,
1976-05,0.011,
1976-06,0.012,
1976-07,0.012,
1976-08,0.012,
1976-09,0.014,
1976-10,0.013,
1976-11,0.014,
1976-12,0.021,
1977-01,0.026,
1977-02,0.023,
1977-03,0.014,
1977-04,0.014,
1977-05,0.014,
1977-06,0.015,
1977-07,0.006,
1977-08,0.006,
1977-09,0.008,
1977-10,0.008,
1977-11,0.008,
1977-12,0.010,
1978-01,0.014,
1978-02,0.004,
1978-03,0.004,
1978-04,0.003,
1978-05,0.003,
1978-06,0.002,
1978-07,0.002,
1978-08,0.002,
1978-09,0.003,
1978-10,0.004,
1978-11,0.006,
1978-12,0.005,
1979-01,0.005,
1979-02,0.006,
1979-03,0.006,
1979-04,0.007,
1979-05,0.003,
1979-06,0.003,
1979-07,0.002,
1979-08,0.005,
1979-09,0.007,
1979-10,0.004,
1979-11,0.008,
1979-12,0.009,
1980-01,0.007,
1980-02,0.007,
1980-03,0.008,
1980-04,0.007,
1980-05,0.007,
1980-06,0.006,
1980-07,0.006,
1980-08,0.009,
1980-09,0.010,
1980-10,0.011,
1980-11,0.005,
1980-12,0.010,
1981-01,0.017,
1981-02,0.012,
1981-03,0.006,
1981-04,0.009,
1981-05,0.005,
1981-06,0.007,
1981-07,0.008,
1981-08,0.005,
1981-09,0.004,
1981-10,0.006,
1981-11,0.005,
1981-12,0.007,
1982-01,0.019,
1982-02,0.004,
1982-03,0.009,
1982-04,0.010,
1982-05,0.008,
1982-06,0.010,
1982-07,0.005,
1982-08,0.006,
1982-09,0.006,
1982-10,0.019,
1982-11,0.012,
1982-12,0.005,
1983-01,0.005,
1983-02,0.023,
1983-03,0.010,
1983-04,0.017,
1983-05,0.016,
1983-06,0.018,
1983-07,0.010,
1983-08,0.006,
1983-09,0.020,
1983-10,0.019,
1983-11,0.020,
1983-12,0.007,
1984-01,0.010,
1984-02,0.010,
1984-03,0.036,
1984-04,0.033,
1984-05,0.074,
1984-06,0.038,
1984-07,0.048,
1984-08,0.064,
1984-09,0.063,
1984-10,0.087,
1984-11,0.073,
1984-12,0.026,
1985-01,0.024,
1985-02,0.020,
1985-03,0.030,
1985-04,0.025,
1985-05,0.032,
1985-06,0.041,
1985-07,0.027,
1985-08,0.053,
1985-09,0.050,
1985-10,0.059,
1985-11,0.060,
1985-12,0.061,
1986-01,0.144,
1986-02,0.103,
1986-03,0.095,
1986-04,0.110,
1986-05,0.138,
1986-06,0.116,
1986-07,0.133,
1986-08,0.163,
1986-09,0.164,
1986-10,0.176,
1986-11,0.129,
1986-12,0.179,
1987-01,0.265,
1987-02,0.187,
1987-03,0.153,
1987-04,0.217,
1987-05,0.186,
1987-06,0.241,
1987-07,0.301,
1987-08,0.235,
1987-09,0.225,
1987-10,0.263,
1987-11,0.217,
1987-12,0.179,
1988-01,0.353,
1988-02,0.200,
1988-03,0.097,
1988-04,0.076,
1988-05,0.075,
