"",BBSF2.M.1.T.00000.DHE01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DHE01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:11,
2009-09,-5,
2009-10,1,
2009-11,10,
2009-12,3,
2010-01,-11,
2010-02,-2,
2010-03,-3,
2010-04,-1,
2010-05,-1,
2010-06,-1,
2010-07,0,
2010-08,-1,
2010-09,-55,
2010-10,-2,
2010-11,6,
2010-12,-16,
2011-01,-5,
2011-02,-1,
2011-03,-4,
2011-04,-2,
2011-05,-14,
2011-06,15,
2011-07,-12,
2011-08,-4,
2011-09,2,
2011-10,-11,
2011-11,-1,
2011-12,-1,
2012-01,-1,
2012-02,-2,
2012-03,-2,
2012-04,-6,
2012-05,-1,
2012-06,-2,
2012-07,-1,
2012-08,-1,
2012-09,-2,
2012-10,-2,
2012-11,-2,
2012-12,-3,
2013-01,-4,
2013-02,-3,
2013-03,-7,
2013-04,-32,
2013-05,-1,
2013-06,-2,
2013-07,0,
2013-08,-3,
2013-09,0,
2013-10,-2,
2013-11,0,
2013-12,0,
2014-01,0,
2014-02,0,
2014-03,-1,
2014-04,-1,
2014-05,-11,
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,0,
2014-10,-,Nothing exists
2014-11,0,
