"",BBFB1.Q.N.DE.US.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:57,
1991-01,-4645.578,
1991-04,-130.854,
1991-07,-356.683,
1991-10,-130.107,
1992-01,-554.591,
1992-04,-118.827,
1992-07,-145.881,
1992-10,-195.580,
1993-01,-384.305,
1993-04,-218.007,
1993-07,-214.495,
1993-10,-227.482,
1994-01,-120.739,
1994-04,-240.484,
1994-07,-210.678,
1994-10,-164.560,
1995-01,-198.002,
1995-04,-167.098,
1995-07,-278.897,
1995-10,-202.665,
1996-01,-200.619,
1996-04,-189.161,
1996-07,-173.802,
1996-10,-147.223,
1997-01,-318.964,
1997-04,-196.704,
1997-07,-327.197,
1997-10,-204.746,
1998-01,-214.033,
1998-04,-125.360,
1998-07,-315.859,
1998-10,-260.912,
1999-01,-113.344,
1999-04,-58.794,
1999-07,-116.679,
1999-10,-110.427,
2000-01,-470.847,
2000-04,-127.425,
2000-07,-184.622,
2000-10,-92.843,
2001-01,-426.295,
2001-04,-206.696,
2001-07,-231.024,
2001-10,-356.406,
2002-01,-487.558,
2002-04,-695.735,
2002-07,-323.026,
2002-10,-937.158,
2003-01,-379.183,
2003-04,-13.387,
2003-07,-620.583,
2003-10,-399.045,
2004-01,-281.819,
2004-04,-328.605,
2004-07,-524.959,
2004-10,-506.972,
2005-01,-417.255,
2005-04,-397.175,
2005-07,-385.516,
2005-10,-755.916,
2006-01,-462.233,
2006-04,12.129,
2006-07,-588.245,
2006-10,-357.053,
2007-01,-414.208,
2007-04,436.257,
2007-07,-660.168,
2007-10,-505.602,
2008-01,-675.645,
2008-04,-65.586,
2008-07,-1152.178,
2008-10,-1021.206,
2009-01,-378.420,
2009-04,-463.600,
2009-07,-605.894,
2009-10,-909.643,
2010-01,-379.133,
2010-04,261.474,
2010-07,-385.819,
2010-10,-609.032,
2011-01,-158.344,
2011-04,502.179,
2011-07,-234.171,
2011-10,-351.331,
2012-01,-418.863,
2012-04,626.463,
2012-07,-290.597,
2012-10,-707.727,
2013-01,-298.712,
2013-04,624.335,
2013-07,-176.954,
2013-10,-425.255,
2014-01,-55.369,Provisional value
2014-04,547.399,Provisional value
2014-07,-667.367,Provisional value
