"",BBDA1.M.DE.N.EX.S.A.BR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.BR.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Brazil / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:03,
1990-07,143993,
1990-08,149866,
1990-09,132640,
1990-10,143192,
1990-11,149016,
1990-12,132120,
1991-01,128182,
1991-02,99612,
1991-03,104959,
1991-04,93230,
1991-05,103324,
1991-06,104636,
1991-07,169461,
1991-08,140996,
1991-09,150919,
1991-10,167147,
1991-11,148413,
1991-12,134234,
1992-01,112876,
1992-02,105747,
1992-03,103278,
1992-04,117701,
1992-05,98636,
1992-06,124979,
1992-07,128642,
1992-08,121164,
1992-09,140803,
1992-10,144714,
1992-11,134131,
1992-12,151537,
1993-01,114694,
1993-02,384740,
1993-03,157661,
1993-04,162392,
1993-05,145652,
1993-06,164729,
1993-07,192282,
1993-08,178442,
1993-09,139581,
1993-10,174053,
1993-11,153208,
1993-12,195501,
1994-01,156966,
1994-02,182611,
1994-03,225381,
1994-04,177347,
1994-05,195502,
1994-06,222201,
1994-07,184451,
1994-08,213355,
1994-09,194008,
1994-10,242395,
1994-11,279465,
1994-12,318803,
1995-01,251256,
1995-02,301361,
1995-03,454999,
1995-04,321804,
1995-05,350605,
1995-06,323735,
1995-07,296843,
1995-08,296416,
1995-09,238946,
1995-10,250292,
1995-11,315274,
1995-12,292321,
1996-01,187362,
1996-02,239040,
1996-03,267414,
1996-04,272609,
1996-05,310055,
1996-06,296902,
1996-07,367584,
1996-08,335296,
1996-09,313771,
1996-10,375248,
1996-11,360166,
1996-12,376402,
1997-01,308768,
1997-02,320105,
1997-03,347796,
1997-04,348065,
1997-05,339836,
1997-06,377946,
1997-07,491063,
1997-08,393722,
1997-09,453576,
1997-10,427440,
1997-11,484038,
1997-12,366071,
1998-01,358017,
1998-02,304276,
1998-03,395015,
1998-04,374958,
1998-05,388166,
1998-06,426548,
1998-07,500823,
1998-08,412948,
1998-09,473339,
1998-10,438081,
1998-11,439604,
1998-12,428698,
1999-01,290311,
1999-02,306789,
1999-03,365985,
1999-04,326438,
1999-05,326573,
1999-06,396592,
1999-07,465521,
1999-08,368255,
1999-09,390938,
1999-10,408372,
1999-11,479785,
1999-12,475993,
2000-01,342038,
2000-02,298129,
2000-03,384641,
2000-04,348678,
2000-05,456733,
2000-06,423514,
2000-07,473165,
2000-08,483683,
2000-09,393556,
2000-10,451036,
2000-11,471971,
2000-12,501406,
2001-01,492340,
2001-02,433226,
2001-03,521812,
2001-04,475222,
2001-05,571309,
2001-06,537360,
2001-07,550819,
2001-08,514691,
2001-09,381991,
2001-10,430125,
2001-11,391414,
2001-12,406899,
2002-01,375845,
2002-02,423958,
2002-03,410465,
2002-04,410154,
2002-05,409582,
2002-06,516066,
2002-07,446069,
2002-08,394162,
2002-09,405344,
2002-10,371742,
2002-11,451495,
2002-12,316305,
2003-01,449934,
2003-02,338807,
2003-03,312378,
2003-04,339596,
2003-05,348391,
2003-06,338118,
2003-07,390705,
2003-08,311328,
2003-09,338618,
2003-10,320602,
2003-11,294711,
2003-12,313551,
2004-01,348794,
2004-02,314450,
2004-03,396043,
2004-04,398061,
2004-05,387819,
2004-06,393864,
2004-07,442356,
2004-08,434694,
2004-09,400481,
2004-10,405029,
2004-11,363725,
2004-12,358825,
2005-01,460304,
2005-02,401469,
2005-03,426668,
2005-04,456841,
2005-05,393955,
2005-06,456416,
2005-07,488140,
2005-08,480263,
2005-09,513265,
2005-10,494391,
2005-11,445214,
2005-12,466802,
2006-01,491102,
2006-02,460733,
2006-03,503428,
2006-04,471284,
2006-05,407008,
2006-06,491329,
2006-07,514239,
2006-08,497403,
2006-09,529278,
2006-10,548422,
2006-11,517551,
2006-12,476776,
2007-01,473570,
2007-02,494319,
2007-03,532900,
2007-04,532500,
2007-05,533325,
2007-06,591749,
2007-07,618045,
2007-08,662589,
2007-09,590989,
2007-10,605600,
2007-11,634120,
2007-12,575011,
2008-01,656057,
2008-02,619113,
2008-03,661948,
2008-04,658447,
2008-05,657617,
2008-06,817430,
2008-07,916693,
2008-08,759960,
2008-09,857592,
2008-10,825933,
2008-11,628442,
2008-12,594005,
2009-01,511635,
2009-02,453294,
2009-03,549599,
2009-04,513903,
2009-05,522801,
2009-06,590444,
2009-07,709307,
2009-08,686887,
2009-09,585624,
2009-10,782999,
2009-11,661102,
2009-12,695090,
2010-01,580906,
2010-02,687419,
2010-03,869425,
2010-04,839696,
2010-05,842153,
2010-06,1159545,
2010-07,1033890,
2010-08,898254,
2010-09,900989,
2010-10,886275,
2010-11,848118,
2010-12,839235,
2011-01,752754,
2011-02,860287,
2011-03,990215,
2011-04,931239,
2011-05,957301,
2011-06,957589,
2011-07,1005871,
2011-08,997866,
2011-09,922286,
2011-10,908046,
2011-11,940375,
2011-12,939254,
2012-01,890879,
2012-02,969589,
2012-03,1155058,
2012-04,1051820,
2012-05,956789,
2012-06,1062835,
2012-07,1039281,
2012-08,935579,
2012-09,926313,
2012-10,1038478,
2012-11,942069,
2012-12,758799,
2013-01,862793,
2013-02,828945,
2013-03,1051975,
2013-04,986709,
2013-05,969490,
2013-06,937595,
2013-07,1056883,
2013-08,951889,
2013-09,981635,
2013-10,999970,
2013-11,911390,
2013-12,747965,
2014-01,855169,
2014-02,891140,
2014-03,878758,
2014-04,884081,
2014-05,984058,
2014-06,944458,
2014-07,977305,
2014-08,786616,
2014-09,781362,
2014-10,841675,
2014-11,727002,
2014-12,858168,
