"",BBDE1.M.DE.Y.BAA1.N2B090000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2B090000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 09 Mining support service activities / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:46,
1991-01,300.3,
1991-02,301.5,
1991-03,310.8,
1991-04,300.5,
1991-05,307.9,
1991-06,301.9,
1991-07,304.7,
1991-08,291.5,
1991-09,295.1,
1991-10,304.1,
1991-11,301.0,
1991-12,292.2,
1992-01,313.2,
1992-02,307.2,
1992-03,314.0,
1992-04,314.8,
1992-05,306.1,
1992-06,305.0,
1992-07,300.2,
1992-08,292.3,
1992-09,281.5,
1992-10,279.2,
1992-11,269.9,
1992-12,238.8,
1993-01,290.7,
1993-02,289.5,
1993-03,287.8,
1993-04,285.5,
1993-05,274.8,
1993-06,251.8,
1993-07,258.5,
1993-08,278.5,
1993-09,260.0,
1993-10,249.9,
1993-11,239.8,
1993-12,249.6,
1994-01,246.9,
1994-02,244.4,
1994-03,242.1,
1994-04,248.3,
1994-05,242.7,
1994-06,247.4,
1994-07,240.6,
1994-08,231.9,
1994-09,231.4,
1994-10,241.9,
1994-11,246.4,
1994-12,233.3,
1995-01,234.7,
1995-02,244.3,
1995-03,252.0,
1995-04,245.4,
1995-05,245.0,
1995-06,247.5,
1995-07,263.0,
1995-08,244.2,
1995-09,255.1,
1995-10,236.7,
1995-11,229.8,
1995-12,233.3,
1996-01,225.5,
1996-02,229.8,
1996-03,235.8,
1996-04,207.6,
1996-05,221.6,
1996-06,219.8,
1996-07,207.6,
1996-08,215.7,
1996-09,212.7,
1996-10,215.9,
1996-11,219.5,
1996-12,223.2,
1997-01,219.3,
1997-02,219.3,
1997-03,203.7,
1997-04,231.2,
1997-05,219.3,
1997-06,227.3,
1997-07,216.7,
1997-08,213.3,
1997-09,192.7,
1997-10,199.6,
1997-11,204.0,
1997-12,204.0,
1998-01,201.0,
1998-02,205.5,
1998-03,187.9,
1998-04,173.5,
1998-05,182.0,
1998-06,185.2,
1998-07,185.6,
1998-08,190.9,
1998-09,186.1,
1998-10,191.1,
1998-11,195.8,
1998-12,173.0,
1999-01,196.4,
1999-02,189.5,
1999-03,192.6,
1999-04,194.8,
1999-05,176.1,
1999-06,175.3,
1999-07,169.2,
1999-08,172.1,
1999-09,184.1,
1999-10,166.0,
1999-11,158.1,
1999-12,159.3,
2000-01,162.0,
2000-02,156.0,
2000-03,161.8,
2000-04,160.9,
2000-05,157.6,
2000-06,142.5,
2000-07,163.6,
2000-08,153.5,
2000-09,145.8,
2000-10,146.5,
2000-11,138.0,
2000-12,133.1,
2001-01,132.5,
2001-02,129.1,
2001-03,127.4,
2001-04,123.0,
2001-05,125.8,
2001-06,123.9,
2001-07,111.9,
2001-08,120.9,
2001-09,126.4,
2001-10,123.2,
2001-11,121.8,
2001-12,132.0,
2002-01,119.2,
2002-02,120.2,
2002-03,118.7,
2002-04,115.3,
2002-05,126.7,
2002-06,125.8,
2002-07,125.6,
2002-08,127.9,
2002-09,118.6,
2002-10,125.1,
2002-11,129.5,
2002-12,118.9,
2003-01,116.8,
2003-02,118.7,
2003-03,112.0,
2003-04,118.5,
2003-05,121.5,
2003-06,132.0,
2003-07,102.7,
2003-08,101.5,
2003-09,116.4,
2003-10,127.3,
2003-11,128.3,
2003-12,137.8,
2004-01,134.0,
2004-02,130.5,
2004-03,126.9,
2004-04,135.6,
2004-05,126.9,
2004-06,109.1,
2004-07,95.4,
2004-08,89.4,
2004-09,97.4,
2004-10,121.8,
2004-11,130.0,
2004-12,132.5,
2005-01,120.2,
2005-02,121.5,
2005-03,114.3,
2005-04,114.6,
2005-05,110.8,
2005-06,108.8,
2005-07,121.8,
2005-08,112.2,
2005-09,108.0,
2005-10,123.0,
2005-11,108.9,
2005-12,107.5,
2006-01,100.6,
2006-02,98.0,
2006-03,92.2,
2006-04,101.7,
2006-05,92.3,
