"",BBK01.OEHJ08H,BBK01.OEHJ08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:57,
2002-01,0.213,
2002-04,0.203,
2002-07,0.193,
2002-10,0.194,
2003-01,0.202,
2003-04,0.200,
2003-07,0.202,
2003-10,0.209,
2004-01,0.218,
2004-04,0.212,
2004-07,0.215,
2004-10,0.222,
2005-01,0.229,
2005-04,0.241,
2005-07,0.231,
2005-10,0.233,
2006-01,0.225,
2006-04,0.225,
2006-07,0.206,
2006-10,0.205,
2007-01,0.193,
2007-04,0.183,
2007-07,0.162,
2007-10,0.137,
2008-01,0.113,
2008-04,0.105,
2008-07,0.103,
2008-10,0.098,
2009-01,0.101,
2009-04,0.102,
2009-07,0.118,
2009-10,0.123,
2010-01,0.126,
2010-04,0.162,
2010-07,0.174,
2010-10,0.185,
2011-01,0.196,
2011-04,0.182,
2011-07,0.181,
2011-10,0.188,
2012-01,0.185,
2012-04,0.195,
2012-07,0.191,
2012-10,0.193,
2013-01,0.188,
2013-04,0.188,
2013-07,0.182,
2013-10,0.176,
2014-01,0.175,
2014-04,0.173,
2014-07,0.175,
