"",BBK01.OEAA22J,BBK01.OEAA22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:38,
2002-01,1.148,
2002-04,1.117,
2002-07,1.078,
2002-10,1.009,
2003-01,1.062,
2003-04,1.106,
2003-07,1.136,
2003-10,1.019,
2004-01,1.053,
2004-04,1.063,
2004-07,1.080,
2004-10,1.066,
2005-01,1.041,
2005-04,1.074,
2005-07,1.134,
2005-10,1.188,
2006-01,1.216,
2006-04,1.251,
2006-07,1.424,
2006-10,0.952,
2007-01,0.997,
2007-04,1.052,
2007-07,1.187,
2007-10,1.257,
2008-01,1.315,
2008-04,1.357,
2008-07,1.370,
2008-10,1.298,
2009-01,1.236,
2009-04,1.290,
2009-07,1.331,
2009-10,1.468,
2010-01,1.428,
2010-04,2.142,
2010-07,1.947,
2010-10,1.920,
2011-01,1.833,
2011-04,1.705,
2011-07,1.611,
2011-10,1.624,
2012-01,1.418,
2012-04,1.456,
2012-07,1.529,
2012-10,1.450,
2013-01,1.510,
2013-04,1.525,
2013-07,1.596,
2013-10,1.604,
2014-01,1.479,
2014-04,1.487,
2014-07,1.652,
