"",BBK01.OEAH65U,BBK01.OEAH65U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:34,
2002-01,0.676,
2002-04,0.675,
2002-07,0.634,
2002-10,0.619,
2003-01,0.584,
2003-04,0.554,
2003-07,0.516,
2003-10,0.502,
2004-01,0.417,
2004-04,0.353,
2004-07,0.313,
2004-10,0.301,
2005-01,0.286,
2005-04,0.276,
2005-07,0.285,
2005-10,0.297,
2006-01,0.348,
2006-04,0.372,
2006-07,0.466,
2006-10,0.583,
2007-01,0.743,
2007-04,0.826,
2007-07,0.887,
2007-10,1.015,
2008-01,1.080,
2008-04,1.146,
2008-07,1.216,
2008-10,1.299,
2009-01,1.160,
2009-04,0.980,
2009-07,0.771,
2009-10,0.533,
2010-01,0.426,
2010-04,0.380,
2010-07,0.334,
2010-10,0.362,
2011-01,0.379,
2011-04,0.403,
2011-07,0.409,
2011-10,0.457,
2012-01,0.443,
2012-04,0.432,
2012-07,0.402,
2012-10,0.353,
2013-01,0.302,
2013-04,0.261,
2013-07,0.232,
2013-10,0.202,
2014-01,0.187,
2014-04,0.189,
2014-07,0.182,
