"",BBK01.OEGL02I,BBK01.OEGL02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:17,
2002-01,2.927,
2002-04,3.030,
2002-07,2.880,
2002-10,2.939,
2003-01,2.930,
2003-04,2.904,
2003-07,5.182,
2003-10,5.215,
2004-01,5.300,
2004-04,5.380,
2004-07,5.309,
2004-10,5.378,
2005-01,5.354,
2005-04,5.401,
2005-07,5.256,
2005-10,5.368,
2006-01,5.596,
2006-04,5.717,
2006-07,5.698,
2006-10,3.637,
2007-01,3.575,
2007-04,3.642,
2007-07,3.572,
2007-10,3.667,
2008-01,3.610,
2008-04,3.735,
2008-07,3.700,
2008-10,3.866,
2009-01,4.722,
2009-04,5.122,
2009-07,5.624,
2009-10,6.105,
2010-01,6.439,
2010-04,6.742,
2010-07,6.803,
2010-10,6.846,
2011-01,6.725,
2011-04,6.883,
2011-07,6.882,
2011-10,7.077,
2012-01,7.228,
2012-04,7.407,
2012-07,7.546,
2012-10,7.664,
2013-01,7.729,
2013-04,7.859,
2013-07,7.951,
2013-10,8.144,
2014-01,8.303,
2014-04,8.463,
2014-07,8.573,
