"",BBK01.BQM006,BBK01.BQM006_FLAGS
"","General government debt - of which securities other than shares, excl. financial derivates - of which long-term",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:30,
2000-01,729011,
2000-04,732960,
2000-07,736789,
2000-10,750162,
2001-01,730833,
2001-04,736471,
2001-07,748046,
2001-10,760887,
2002-01,781239,
2002-04,799616,
2002-07,814331,
2002-10,819263,
2003-01,851687,
2003-04,863089,
2003-07,868592,
2003-10,885937,
2004-01,918386,
2004-04,933142,
2004-07,948695,
2004-10,955268,
2005-01,970586,
2005-04,992099,
2005-07,1006178,
2005-10,1023838,
2006-01,1035877,
2006-04,1055277,
2006-07,1065818,
2006-10,1076089,
2007-01,1074428,
2007-04,1093284,
2007-07,1080725,
2007-10,1105371,
2008-01,1101955,
2008-04,1131116,
2008-07,1137703,
2008-10,1141102,
2009-01,1151886,
2009-04,1189400,
2009-07,1176979,
2009-10,1196567,
2010-01,1232633,Provisional value
2010-04,1257505,Provisional value
2010-07,1277969,Provisional value
2010-10,1309513,Provisional value
2011-01,1319912,Provisional value
2011-04,1348937,Provisional value
2011-07,1352992,Provisional value
2011-10,1346240,Provisional value
2012-01,1380531,Provisional value
2012-04,1403144,Provisional value
2012-07,1426517,Provisional value
2012-10,1441388,Provisional value
2013-01,1449781,Provisional value
2013-04,1445719,Provisional value
2013-07,1452193,Provisional value
2013-10,1470151,Provisional value
2014-01,1480306,Provisional value
2014-04,1495193,Provisional value
2014-07,1500372,Provisional value
