"",BBK01.QUA504,BBK01.QUA504_FLAGS
"",Foreign branches: Short-term loans and advances to foreign banks / Slovakia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:04,
2005-12,0.296,
2006-01,0.305,
2006-02,0.352,
2006-03,0.148,
2006-04,0.149,
2006-05,0.184,
2006-06,0.139,
2006-07,0.107,
2006-08,0.137,
2006-09,0.081,
2006-10,0.104,
2006-11,0.077,
2006-12,0.090,
2007-01,0.142,
2007-02,0.246,
2007-03,0.155,
2007-04,0.239,
2007-05,0.188,
2007-06,0.187,
2007-07,0.165,
2007-08,0.193,
2007-09,0.191,
2007-10,0.225,
2007-11,0.204,
2007-12,0.299,
2008-01,0.180,
2008-02,0.186,
2008-03,0.117,
2008-04,0.115,
2008-05,0.210,
2008-06,0.228,
2008-07,0.234,
2008-08,0.388,
2008-09,0.339,
2008-10,0.322,
2008-11,0.542,
2008-12,0.144,
2009-01,0.101,
2009-02,0.237,
2009-03,0.116,
2009-04,0.118,
2009-05,0.093,
2009-06,0.118,
2009-07,0.113,
2009-08,0.110,
2009-09,0.110,
2009-10,0.083,
2009-11,0.091,
2009-12,0.089,
2010-01,0.092,
2010-02,0.098,
2010-03,0.047,
2010-04,0.062,
2010-05,0.073,
2010-06,0.075,
2010-07,0.073,
2010-08,0.073,
2010-09,0.072,
2010-10,0.074,
2010-11,0.066,
2010-12,0.071,
2011-01,0.056,
2011-02,.,No value available
2011-03,0.053,
2011-04,0.053,
2011-05,0.059,
2011-06,0.087,
2011-07,0.071,
2011-08,0.081,
2011-09,0.077,
2011-10,0.073,
2011-11,0.264,
2011-12,0.265,
2012-01,0.265,
2012-02,0.260,
2012-03,0.304,
2012-04,0.233,
2012-05,0.228,
2012-06,0.224,
2012-07,0.316,
2012-08,0.234,
2012-09,0.220,
2012-10,0.237,
2012-11,0.209,
2012-12,0.197,
2013-01,0.199,
2013-02,0.190,
2013-03,0.190,
2013-04,0.171,
2013-05,0.156,
2013-06,0.255,
2013-07,0.182,
2013-08,0.189,
2013-09,0.145,
2013-10,0.146,
2013-11,0.140,
2013-12,0.132,
2014-01,0.142,
2014-02,0.149,
2014-03,0.147,
2014-04,0.168,
2014-05,0.136,
2014-06,0.138,
2014-07,0.152,
2014-08,0.140,
2014-09,0.134,
2014-10,0.137,
2014-11,0.136,
