"",BBFN1.M.DE.N.1.L.LI.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LI.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1996-06,0.128,
1996-07,0.135,
1996-08,0.134,
1996-09,0.138,
1996-10,0.139,
1996-11,0.135,
1996-12,0.137,
1997-01,0.179,
1997-02,0.177,
1997-03,0.182,
1997-04,0.187,
1997-05,0.186,
1997-06,0.186,
1997-07,0.184,
1997-08,0.179,
1997-09,0.184,
1997-10,0.186,
1997-11,0.187,
1997-12,0.180,
1998-01,0.174,
1998-02,0.184,
1998-03,0.184,
1998-04,0.155,
1998-05,0.150,
1998-06,0.148,
1998-07,0.180,
1998-08,0.175,
1998-09,0.108,
1998-10,0.107,
1998-11,0.107,
1998-12,0.107,
1999-01,0.103,
1999-02,0.107,
1999-03,0.108,
1999-04,0.109,
1999-05,0.110,
1999-06,0.115,
1999-07,0.114,
1999-08,0.114,
1999-09,0.119,
1999-10,0.117,
1999-11,0.117,
1999-12,0.115,
2000-01,0.115,
2000-02,0.118,
2000-03,0.119,
2000-04,0.111,
2000-05,0.117,
2000-06,0.116,
2000-07,0.118,
2000-08,0.114,
2000-09,0.198,
2000-10,0.198,
2000-11,0.198,
2000-12,0.198,
2001-01,0.197,
2001-02,0.212,
2001-03,0.213,
2001-04,0.213,
2001-05,0.206,
2001-06,0.206,
2001-07,0.206,
2001-08,0.206,
2001-09,0.206,
2001-10,0.206,
2001-11,0.206,
2001-12,0.208,
2002-01,0.211,
2002-02,0.219,
2002-03,0.198,
2002-04,0.198,
2002-05,0.198,
2002-06,0.197,
2002-07,0.198,
2002-08,0.197,
2002-09,0.198,
2002-10,0.198,
2002-11,0.199,
2002-12,0.181,
2003-01,0.146,
2003-02,0.139,
2003-03,0.139,
2003-04,0.139,
2003-05,0.139,
2003-06,0.139,
2003-07,0.139,
2003-08,0.136,
2003-09,0.113,
2003-10,0.113,
2003-11,0.110,
2003-12,0.106,
2004-01,0.088,
2004-02,0.088,
2004-03,0.088,
2004-04,0.070,
2004-05,0.071,
2004-06,0.071,
2004-07,0.071,
2004-08,0.071,
2004-09,0.079,
2004-10,0.080,
2004-11,0.080,
2004-12,0.050,
2005-01,0.053,
2005-02,0.054,
2005-03,0.053,
2005-04,0.054,
2005-05,0.085,
2005-06,0.103,
2005-07,0.143,
2005-08,0.152,
2005-09,0.139,
2005-10,0.178,
2005-11,0.179,
2005-12,0.178,
2006-01,0.174,
2006-02,0.176,
2006-03,0.176,
2006-04,0.176,
2006-05,0.155,
2006-06,0.169,
2006-07,0.169,
2006-08,0.324,
2006-09,0.324,
2006-10,0.322,
2006-11,0.322,
2006-12,0.291,
2007-01,0.282,
2007-02,0.294,
2007-03,0.311,
2007-04,0.294,
2007-05,0.311,
2007-06,0.306,
2007-07,0.307,
2007-08,0.309,
2007-09,0.319,
2007-10,0.309,
2007-11,0.309,
2007-12,0.315,
2008-01,0.300,
2008-02,0.310,
2008-03,0.206,
2008-04,0.209,
2008-05,0.209,
2008-06,0.199,
2008-07,0.192,
2008-08,0.194,
2008-09,0.194,
2008-10,0.194,
2008-11,0.283,
2008-12,0.293,
2009-01,0.293,
2009-02,0.293,
2009-03,0.293,
2009-04,0.294,
2009-05,0.293,
2009-06,0.390,
2009-07,0.295,
2009-08,0.295,
2009-09,0.320,
2009-10,0.329,
2009-11,0.329,
2009-12,0.304,
2010-01,0.305,
2010-02,0.306,
2010-03,0.307,
2010-04,0.308,
2010-05,0.309,
2010-06,0.330,
2010-07,0.337,
2010-08,0.338,
2010-09,0.203,
2010-10,0.206,
2010-11,0.231,
2010-12,0.907,
2011-01,0.928,
2011-02,0.929,
2011-03,0.930,
2011-04,0.930,
2011-05,0.935,
2011-06,0.586,
2011-07,0.587,
2011-08,0.590,
2011-09,0.508,
2011-10,0.479,
2011-11,0.479,
2011-12,0.478,
2012-01,0.495,
2012-02,0.495,
2012-03,0.503,
2012-04,0.505,
2012-05,0.490,
2012-06,0.525,
2012-07,0.528,
2012-08,0.529,
2012-09,0.522,
2012-10,0.510,
2012-11,0.494,
2012-12,0.491,
2013-01,0.510,
2013-02,0.511,
2013-03,0.513,
2013-04,0.513,
2013-05,0.512,
2013-06,0.510,
2013-07,0.509,
2013-08,0.510,
2013-09,0.510,
2013-10,0.513,
2013-11,0.495,
2013-12,0.074,
2014-01,0.080,
2014-02,0.074,
2014-03,0.068,
2014-04,0.068,
2014-05,0.075,
2014-06,0.075,
2014-07,0.076,
2014-08,.,No value available
2014-09,.,No value available
2014-10,.,No value available
2014-11,.,No value available
2014-12,.,No value available
