"",BBK01.TQ7011,BBK01.TQ7011_FLAGS
"",Deposit takers - Liquid assets to short-term liabilities FSI-I011,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:26,
2005-10,121.97,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,120.90,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,119.42,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,120.38,
2009-01,122.85,
2009-04,133.42,
2009-07,134.28,
2009-10,144.24,
2010-01,142.40,
2010-04,138.60,
2010-07,135.29,
2010-10,137.00,
2011-01,137.91,
2011-04,137.93,
2011-07,134.61,
2011-10,137.86,
2012-01,140.60,
2012-04,140.91,
2012-07,141.44,
2012-10,144.17,
2013-01,140.83,
2013-04,138.88,
2013-07,140.33,
2013-10,140.50,
2014-01,140.40,
2014-04,141.70,
2014-07,143.88,
