"",BBK01.OEAD37K,BBK01.OEAD37K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:48,
2002-01,0.347,
2002-04,0.323,
2002-07,0.324,
2002-10,0.312,
2003-01,0.316,
2003-04,0.272,
2003-07,0.263,
2003-10,0.253,
2004-01,0.238,
2004-04,0.239,
2004-07,0.205,
2004-10,0.206,
2005-01,0.217,
2005-04,0.223,
2005-07,0.260,
2005-10,0.221,
2006-01,0.203,
2006-04,0.217,
2006-07,0.249,
2006-10,0.243,
2007-01,0.373,
2007-04,0.252,
2007-07,0.256,
2007-10,0.266,
2008-01,0.336,
2008-04,0.350,
2008-07,0.398,
2008-10,0.334,
2009-01,0.317,
2009-04,0.331,
2009-07,0.310,
2009-10,0.292,
2010-01,0.293,
2010-04,0.325,
2010-07,0.337,
2010-10,0.324,
2011-01,0.328,
2011-04,0.321,
2011-07,0.299,
2011-10,0.289,
2012-01,0.284,
2012-04,0.270,
2012-07,0.299,
2012-10,0.283,
2013-01,0.261,
2013-04,0.261,
2013-07,0.209,
2013-10,0.190,
2014-01,0.197,
2014-04,0.195,
2014-07,0.196,
