"",BBK01.BJ9070,BBK01.BJ9070_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty - Germany - central government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:52,
1991,-48054,
1992,-25101,
1993,-34382,
1994,-21415,
1995,-141725,
1996,-34046,
1997,-30518,
1998,-36559,
1999,-27957,
2000,27612,
2001,-28156,
2002,-39130,
2003,-40095,
2004,-51012,
2005,-46721,
2006,-33151,
2007,-16235,
2008,-14699,
2009,-38018,
2010,-82153,
2011,-27103,Provisional value
2012,-14729,Provisional value
2013,-4455,Provisional value
2014,7288,Provisional value
"","Methodology: * Including proceeds from the sale of UMTS licences (2000: ¤50.807 billion, 2010: ¤4.385 billion).",
