"",BBK01.OEHB22V,BBK01.OEHB22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:48,
2002-01,0.089,
2002-04,0.085,
2002-07,0.128,
2002-10,0.075,
2003-01,0.112,
2003-04,0.155,
2003-07,0.168,
2003-10,0.189,
2004-01,0.255,
2004-04,0.209,
2004-07,0.094,
2004-10,0.060,
2005-01,0.094,
2005-04,0.068,
2005-07,0.070,
2005-10,0.120,
2006-01,0.110,
2006-04,0.099,
2006-07,0.101,
2006-10,0.110,
2007-01,0.132,
2007-04,0.106,
2007-07,0.095,
2007-10,0.104,
2008-01,0.081,
2008-04,0.075,
2008-07,0.070,
2008-10,0.061,
2009-01,0.057,
2009-04,0.069,
2009-07,0.115,
2009-10,0.103,
2010-01,0.071,
2010-04,0.040,
2010-07,0.066,
2010-10,0.061,
2011-01,0.051,
2011-04,0.052,
2011-07,0.044,
2011-10,0.042,
2012-01,0.043,
2012-04,0.040,
2012-07,0.046,
2012-10,0.028,
2013-01,0.039,
2013-04,0.025,
2013-07,0.030,
2013-10,0.034,
2014-01,0.038,
2014-04,0.029,
2014-07,0.033,
