"",BBK01.OELK06G,BBK01.OELK06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:43,
2002-01,0.163,
2002-04,0.160,
2002-07,0.149,
2002-10,0.146,
2003-01,0.129,
2003-04,0.123,
2003-07,0.117,
2003-10,0.112,
2004-01,0.109,
2004-04,0.104,
2004-07,0.100,
2004-10,0.097,
2005-01,0.092,
2005-04,0.089,
2005-07,0.087,
2005-10,0.087,
2006-01,0.092,
2006-04,0.094,
2006-07,0.092,
2006-10,0.101,
2007-01,0.106,
2007-04,0.110,
2007-07,0.117,
2007-10,0.131,
2008-01,0.134,
2008-04,0.134,
2008-07,0.130,
2008-10,0.142,
2009-01,0.125,
2009-04,0.107,
2009-07,0.091,
2009-10,0.086,
2010-01,0.084,
2010-04,0.078,
2010-07,0.074,
2010-10,0.073,
2011-01,0.073,
2011-04,0.075,
2011-07,0.082,
2011-10,0.084,
2012-01,0.085,
2012-04,0.083,
2012-07,0.078,
2012-10,0.073,
2013-01,0.064,
2013-04,0.055,
2013-07,0.052,
2013-10,0.047,
2014-01,0.044,
2014-04,0.042,
2014-07,0.040,
