"",BBK01.OEYB24P,BBK01.OEYB24P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:03,
2002-01,0.501,
2002-04,0.505,
2002-07,0.509,
2002-10,0.666,
2003-01,0.714,
2003-04,0.707,
2003-07,0.739,
2003-10,0.753,
2004-01,0.760,
2004-04,0.763,
2004-07,0.836,
2004-10,0.833,
2005-01,0.860,
2005-04,0.856,
2005-07,0.869,
2005-10,0.879,
2006-01,0.881,
2006-04,0.880,
2006-07,0.873,
2006-10,1.007,
2007-01,0.992,
2007-04,0.983,
2007-07,0.982,
2007-10,0.978,
2008-01,0.972,
2008-04,0.959,
2008-07,0.966,
2008-10,0.947,
2009-01,0.924,
2009-04,0.921,
2009-07,0.910,
2009-10,0.864,
2010-01,0.863,
2010-04,0.949,
2010-07,0.976,
2010-10,0.964,
2011-01,0.966,
2011-04,0.913,
2011-07,0.773,
2011-10,0.993,
2012-01,1.036,
2012-04,1.045,
2012-07,1.005,
2012-10,1.053,
2013-01,1.014,
2013-04,0.997,
2013-07,0.991,
2013-10,0.994,
2014-01,1.011,
2014-04,0.787,
2014-07,0.799,
