"",BBK01.SUD113S,BBK01.SUD113S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans for consumption to households with floating rate or an initial rate fixation up to 1 year,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:57,
2000-01,5.5877,Estimated value
2000-02,5.5877,Estimated value
2000-03,5.5877,Estimated value
2000-04,5.5822,Estimated value
2000-05,5.6426,Estimated value
2000-06,5.7304,Estimated value
2000-07,5.7633,Estimated value
2000-08,5.8182,Estimated value
2000-09,5.8402,Estimated value
2000-10,5.8676,Estimated value
2000-11,5.8896,Estimated value
2000-12,5.9280,Estimated value
2001-01,5.9390,Estimated value
2001-02,5.9390,Estimated value
2001-03,5.9060,Estimated value
2001-04,5.8786,Estimated value
2001-05,5.9005,Estimated value
2001-06,5.9060,Estimated value
2001-07,5.9170,Estimated value
2001-08,5.9280,Estimated value
2001-09,5.9280,Estimated value
2001-10,5.9060,Estimated value
2001-11,5.8456,Estimated value
2001-12,5.8402,Estimated value
2002-01,5.8456,Estimated value
2002-02,5.8896,Estimated value
2002-03,5.8786,Estimated value
2002-04,5.8621,Estimated value
2002-05,5.8896,Estimated value
2002-06,5.8896,Estimated value
2002-07,5.8950,Estimated value
2002-08,5.8786,Estimated value
2002-09,5.9060,Estimated value
2002-10,5.8950,Estimated value
2002-11,5.8731,Estimated value
2002-12,5.8402,Estimated value
