"",BBK01.OELI02J,BBK01.OELI02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:33,
2002-01,0.389,
2002-04,0.418,
2002-07,0.430,
2002-10,0.435,
2003-01,0.434,
2003-04,0.452,
2003-07,0.441,
2003-10,0.456,
2004-01,0.461,
2004-04,0.459,
2004-07,0.459,
2004-10,0.499,
2005-01,0.503,
2005-04,0.496,
2005-07,0.501,
2005-10,0.508,
2006-01,0.512,
2006-04,0.519,
2006-07,0.505,
2006-10,0.486,
2007-01,0.503,
2007-04,0.500,
2007-07,0.531,
2007-10,0.537,
2008-01,0.545,
2008-04,0.545,
2008-07,0.533,
2008-10,0.545,
2009-01,0.586,
2009-04,0.652,
2009-07,0.720,
2009-10,0.765,
2010-01,0.801,
2010-04,0.857,
2010-07,0.898,
2010-10,0.960,
2011-01,0.890,
2011-04,0.883,
2011-07,0.867,
2011-10,0.920,
2012-01,0.912,
2012-04,1.007,
2012-07,1.078,
2012-10,1.110,
2013-01,1.158,
2013-04,1.181,
2013-07,1.201,
2013-10,1.216,
2014-01,1.138,
2014-04,1.190,
2014-07,1.215,
